run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0,v3-gpt-4.1-mini,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T153958779969Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-27be-7061-9b2d-a78f26d49720,019dfdf2-27be-7061-9b2d-a78f26d49720,LangGraph,success,,2026-05-06T15:39:58.782404Z,2026-05-06T15:40:02.728210Z,3.945806,1762,55,1817,0.0007928,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-27be-7061-9b2d-a78f26d49720.json,True,21.0
v3-gpt-4.1-mini-20260506T154002730159Z-5a8c7595554299585d9e36b6-r0,v3-gpt-4.1-mini,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154002730159Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019dfdf2-372a-7330-b0f5-dfc608d35617,019dfdf2-372a-7330-b0f5-dfc608d35617,LangGraph,success,,2026-05-06T15:40:02.730344Z,2026-05-06T15:40:07.300287Z,4.569943,3243,65,3308,0.0014012,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-372a-7330-b0f5-dfc608d35617.json,False,14.0
v3-gpt-4.1-mini-20260506T154007302589Z-5a85ea095542994775f606a8-r0,v3-gpt-4.1-mini,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154007302589Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-4906-7b01-8341-30f3c28cdee2,019dfdf2-4906-7b01-8341-30f3c28cdee2,LangGraph,success,,2026-05-06T15:40:07.302842Z,2026-05-06T15:40:09.733835Z,2.430993,1194,35,1229,0.0005336,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-4906-7b01-8341-30f3c28cdee2.json,True,61.0
v3-gpt-4.1-mini-20260506T154009735901Z-5adbf0a255429947ff17385a-r0,v3-gpt-4.1-mini,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154009735901Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-5288-79f0-9221-8902e1170461,019dfdf2-5288-79f0-9221-8902e1170461,LangGraph,success,,2026-05-06T15:40:09.736156Z,2026-05-06T15:40:12.829672Z,3.093516,1714,59,1773,0.00078,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-5288-79f0-9221-8902e1170461.json,True,36.0
v3-gpt-4.1-mini-20260506T154012831715Z-5a8e3ea95542995a26add48d-r0,v3-gpt-4.1-mini,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Conrad Brooks; Doc NYC; Gone in 60 Seconds (2000 film); Index Magazine; New Haven Documentary Film Festival; New York Society of Model Engineers,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154012831715Z-5a8e3ea95542995a26add48d-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-5e9f-79a2-9568-9019741099d7,019dfdf2-5e9f-79a2-9568-9019741099d7,LangGraph,success,,2026-05-06T15:40:12.831988Z,2026-05-06T15:40:17.521966Z,4.689978,3162,61,3223,0.0013624,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-5e9f-79a2-9568-9019741099d7.json,True,13.0
v3-gpt-4.1-mini-20260506T154017524419Z-5abd94525542992ac4f382d2-r0,v3-gpt-4.1-mini,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154017524419Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfdf2-70f4-7b90-80c8-c58b2d2e020e,019dfdf2-70f4-7b90-80c8-c58b2d2e020e,LangGraph,success,,2026-05-06T15:40:17.524762Z,2026-05-06T15:40:19.587752Z,2.06299,1120,32,1152,0.0004992,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-70f4-7b90-80c8-c58b2d2e020e.json,True,73.0
v3-gpt-4.1-mini-20260506T154019589825Z-5a85b2d95542997b5ce40028-r0,v3-gpt-4.1-mini,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Management consulting,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154019589825Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-7906-7e80-9067-ecbf8388d98e,019dfdf2-7906-7e80-9067-ecbf8388d98e,LangGraph,success,,2026-05-06T15:40:19.590173Z,2026-05-06T15:40:22.200706Z,2.610533,1129,31,1160,0.0005012,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-7906-7e80-9067-ecbf8388d98e.json,True,53.0
v3-gpt-4.1-mini-20260506T154022203427Z-5a87ab905542996e4f3088c1-r0,v3-gpt-4.1-mini,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","4,000 capacity (3,677 seated)",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154022203427Z-5a87ab905542996e4f3088c1-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019dfdf2-833b-7972-8fd5-4687a2a2d33e,019dfdf2-833b-7972-8fd5-4687a2a2d33e,LangGraph,success,,2026-05-06T15:40:22.203645Z,2026-05-06T15:40:24.670609Z,2.466964,1257,37,1294,0.000562,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-833b-7972-8fd5-4687a2a2d33e.json,False,57.0
v3-gpt-4.1-mini-20260506T154024672728Z-5a7bbb64554299042af8f7cc-r0,v3-gpt-4.1-mini,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154024672728Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-8ce0-77e3-aee1-b4d884e95817,019dfdf2-8ce0-77e3-aee1-b4d884e95817,LangGraph,success,,2026-05-06T15:40:24.672987Z,2026-05-06T15:40:27.889489Z,3.216502,1426,62,1488,0.0006696,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-8ce0-77e3-aee1-b4d884e95817.json,True,34.0
v3-gpt-4.1-mini-20260506T154027891182Z-5a8db19d5542994ba4e3dd00-r0,v3-gpt-4.1-mini,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); Badly Drawn Boy discography; For Against; Gary Lee Conner; History (band); Local H; Ophur; Viol,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/evals/v3-gpt-4.1-mini-20260506T154027891182Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdf2-9973-78b2-859c-67aae3e51b11,019dfdf2-9973-78b2-859c-67aae3e51b11,LangGraph,success,,2026-05-06T15:40:27.891341Z,2026-05-06T15:40:31.306022Z,3.414681,1752,56,1808,0.0007904,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini/traces/019dfdf2-9973-78b2-859c-67aae3e51b11.json,True,31.0
