run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0,v3-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,Conrad Brooks; Ed Wood; Ed Wood (film); Scott Derrickson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152348687953Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfde3-5a52-70c2-94ca-b37e62b3f78a,019dfde3-5a52-70c2-94ca-b37e62b3f78a,LangGraph,success,,2026-05-06T15:23:48.690259Z,2026-05-06T15:23:55.004897Z,6.314638,1185,73,1258,0.008115,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde3-5a52-70c2-94ca-b37e62b3f78a.json,True,45.0
v3-gpt-5.5-20260506T152355007426Z-5a8c7595554299585d9e36b6-r0,v3-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Robert Hormats; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152355007426Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019dfde3-72ff-7db2-8531-a46591bc4d84,019dfde3-72ff-7db2-8531-a46591bc4d84,LangGraph,success,,2026-05-06T15:23:55.007718Z,2026-05-06T15:24:10.962647Z,15.954929,3620,317,3937,0.02761,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde3-72ff-7db2-8531-a46591bc4d84.json,False,5.0
v3-gpt-5.5-20260506T152410964859Z-5a85ea095542994775f606a8-r0,v3-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152410964859Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfde3-b155-7d71-babe-abeb58655ec1,019dfde3-b155-7d71-babe-abeb58655ec1,LangGraph,success,,2026-05-06T15:24:10.965050Z,2026-05-06T15:24:16.288573Z,5.323523,1271,69,1340,0.008425,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde3-b155-7d71-babe-abeb58655ec1.json,True,64.0
v3-gpt-5.5-20260506T152416290934Z-5adbf0a255429947ff17385a-r0,v3-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152416290934Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfde3-c623-7942-a6b3-366f9e47963b,019dfde3-c623-7942-a6b3-366f9e47963b,LangGraph,success,,2026-05-06T15:24:16.291202Z,2026-05-06T15:24:22.532381Z,6.241179,1183,94,1277,0.008735,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde3-c623-7942-a6b3-366f9e47963b.json,True,48.0
v3-gpt-5.5-20260506T152422533964Z-5a8e3ea95542995a26add48d-r0,v3-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",New York City,Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Doc NYC; New Haven Documentary Film Festival; New York Society of Model Engineers; Nola (film),2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152422533964Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.6,0.7499999999999999,True,1.0,019dfde3-de86-7f83-aed4-7e8e4dd6fc6c,019dfde3-de86-7f83-aed4-7e8e4dd6fc6c,LangGraph,success,,2026-05-06T15:24:22.534128Z,2026-05-06T15:24:34.120676Z,11.586548,3345,387,3732,0.028335,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde3-de86-7f83-aed4-7e8e4dd6fc6c.json,False,14.0
v3-gpt-5.5-20260506T152434122855Z-5abd94525542992ac4f382d2-r0,v3-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,WINNER South Korean boy group formed by who?,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152434122855Z-5abd94525542992ac4f382d2-r0.json,False,False,False,0.0,0.0,0.0,True,0.5,019dfde4-0bcb-7190-9b07-c3b49803f0bf,019dfde4-0bcb-7190-9b07-c3b49803f0bf,LangGraph,success,,2026-05-06T15:24:34.123121Z,2026-05-06T15:24:41.988661Z,7.86554,1721,204,1925,0.014725,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde4-0bcb-7190-9b07-c3b49803f0bf.json,False,31.0
v3-gpt-5.5-20260506T152441990129Z-5a85b2d95542997b5ce40028-r0,v3-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Eenasul Fateh; Indriati Iskak; Management consulting,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152441990129Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfde4-2a86-7b80-80ad-24161676dcad,019dfde4-2a86-7b80-80ad-24161676dcad,LangGraph,success,,2026-05-06T15:24:41.990273Z,2026-05-06T15:24:47.832577Z,5.842304,1172,65,1237,0.00781,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde4-2a86-7b80-80ad-24161676dcad.json,True,53.0
v3-gpt-5.5-20260506T152447835702Z-5a87ab905542996e4f3088c1-r0,v3-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152447835702Z-5a87ab905542996e4f3088c1-r0.json,False,False,True,1.0,0.5,0.6666666666666666,True,1.0,019dfde4-415b-79b1-b99f-8a5687044f84,019dfde4-415b-79b1-b99f-8a5687044f84,LangGraph,success,,2026-05-06T15:24:47.835919Z,2026-05-06T15:24:53.357897Z,5.521978,1334,123,1457,0.01036,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde4-415b-79b1-b99f-8a5687044f84.json,False,60.0
v3-gpt-5.5-20260506T152453360185Z-5a7bbb64554299042af8f7cc-r0,v3-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152453360185Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfde4-56f0-7262-a1fa-9054c689701b,019dfde4-56f0-7262-a1fa-9054c689701b,LangGraph,success,,2026-05-06T15:24:53.360451Z,2026-05-06T15:24:57.974156Z,4.613705,1503,92,1595,0.010275,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde4-56f0-7262-a1fa-9054c689701b.json,True,72.0
v3-gpt-5.5-20260506T152457976028Z-5a8db19d5542994ba4e3dd00-r0,v3-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); For Against; Hallelujah! I'm a Bum (album); Kansas Song; Local H; Nashville Rebel (box set); Ophur; Stay (Shakespears Sister song),1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/evals/v3-gpt-5.5-20260506T152457976028Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfde4-68f8-7ae1-8da3-a82fc8fee8fa,019dfde4-68f8-7ae1-8da3-a82fc8fee8fa,LangGraph,success,,2026-05-06T15:24:57.976299Z,2026-05-06T15:25:02.776445Z,4.800146,1601,122,1723,0.011665,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-5.5/traces/019dfde4-68f8-7ae1-8da3-a82fc8fee8fa.json,True,69.0
