run_id,config_id,example_id,repeat,benchmark,entry_point,prompt,repair_attempts,nodes,solution,model_config,model_kwargs,eval_file,base_pass,plus_pass,mbpp_plus_pass,accuracy,base_status,plus_status,base_failed_count,plus_failed_count,base_total_count,plus_total_count,base_error,plus_error,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0,v1-gpt4.1-mini,Mbpp/2,0,MBPP+,similar_elements,"""""""
Write a function to find the shared elements from the given two lists.
assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))
""""""
",0,generate_solution -> run_visible_tests,"def similar_elements(lst1, lst2):
    return tuple(sorted(set(lst1).intersection(lst2)))","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205225853153Z-Mbpp-2-r0.json,True,True,True,1.0,pass,pass,0,0,3,108,,,019ed234-f27e-7b70-8fd9-07e0e65cddea,019ed234-f27e-7b70-8fd9-07e0e65cddea,LangGraph,success,,2026-06-16T20:52:25.854415Z,2026-06-16T20:52:29.206888Z,3.352473,234,21,255,0.0001272,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed234-f27e-7b70-8fd9-07e0e65cddea.json,True,10.0
v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0,v1-gpt4.1-mini,Mbpp/3,0,MBPP+,is_not_prime,"""""""
Write a python function to identify non-prime numbers.
assert is_not_prime(2) == False
""""""
",0,generate_solution -> run_visible_tests,"def is_not_prime(n: int) -> bool:
    if n <= 1:
        return True
    if n == 2:
        return False
    if n % 2 == 0:
        return True
    for i in range(3, int(n**0.5) + 1, 2):
        if n % i == 0:
            return True
    return False","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205231918382Z-Mbpp-3-r0.json,True,True,True,1.0,pass,pass,0,0,5,103,,,019ed235-0a2e-7512-83d1-3f8e720025a5,019ed235-0a2e-7512-83d1-3f8e720025a5,LangGraph,success,,2026-06-16T20:52:31.918738Z,2026-06-16T20:52:35.236964Z,3.318226,157,85,242,0.0001988,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-0a2e-7512-83d1-3f8e720025a5.json,True,11.0
v1-gpt4.1-mini-20260616T205237896455Z-Mbpp-4-r0,v1-gpt4.1-mini,Mbpp/4,0,MBPP+,heap_queue_largest,"""""""
Write a function to find the n largest integers from a given list of numbers, returned in descending order.
assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]
""""""
",0,generate_solution -> run_visible_tests,"import heapq

def heap_queue_largest(numbers, n):
    return heapq.nlargest(n, numbers)","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205237896455Z-Mbpp-4-r0.json,True,True,True,1.0,pass,pass,0,0,3,106,,,019ed235-2188-7d71-989a-a437a877bc29,019ed235-2188-7d71-989a-a437a877bc29,LangGraph,success,,2026-06-16T20:52:37.896726Z,2026-06-16T20:52:40.099040Z,2.202314,287,23,310,0.0001516,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-2188-7d71-989a-a437a877bc29.json,True,47.0
v1-gpt4.1-mini-20260616T205242757191Z-Mbpp-6-r0,v1-gpt4.1-mini,Mbpp/6,0,MBPP+,differ_At_One_Bit_Pos,"""""""
Write a python function to check whether the two numbers differ at one bit position only or not.
assert differ_At_One_Bit_Pos(13,9) == True
""""""
",0,generate_solution -> run_visible_tests,"def differ_At_One_Bit_Pos(a, b):
    return bin(a ^ b).count('1') == 1","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205242757191Z-Mbpp-6-r0.json,True,False,False,0.0,pass,fail,0,7,6,108,,,019ed235-3485-7050-8798-26fb652d8371,019ed235-3485-7050-8798-26fb652d8371,LangGraph,success,,2026-06-16T20:52:42.757451Z,2026-06-16T20:52:44.858551Z,2.1011,232,27,259,0.000136,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-3485-7050-8798-26fb652d8371.json,False,61.0
v1-gpt4.1-mini-20260616T205247507946Z-Mbpp-7-r0,v1-gpt4.1-mini,Mbpp/7,0,MBPP+,find_char_long,"""""""
Write a function to find all words which are at least 4 characters long in a string.
assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])
""""""
",0,generate_solution -> run_visible_tests,"def find_char_long(s):
    return [word for word in s.split() if len(word) >= 4]","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205247507946Z-Mbpp-7-r0.json,True,False,False,0.0,pass,fail,0,36,3,102,,,019ed235-4714-7483-82f4-443adddf9f48,019ed235-4714-7483-82f4-443adddf9f48,LangGraph,success,,2026-06-16T20:52:47.508234Z,2026-06-16T20:52:49.742408Z,2.234174,212,24,236,0.0001232,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-4714-7483-82f4-443adddf9f48.json,False,45.0
v1-gpt4.1-mini-20260616T205252328917Z-Mbpp-8-r0,v1-gpt4.1-mini,Mbpp/8,0,MBPP+,square_nums,"""""""
Write a function to find squares of individual elements in a list.
assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]
""""""
",0,generate_solution -> run_visible_tests,"def square_nums(lst):
    return [x**2 for x in lst]","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205252328917Z-Mbpp-8-r0.json,True,True,True,1.0,pass,pass,0,0,3,103,,,019ed235-59e9-7cc0-9041-d6a5b88df681,019ed235-59e9-7cc0-9041-d6a5b88df681,LangGraph,success,,2026-06-16T20:52:52.329187Z,2026-06-16T20:52:54.799098Z,2.469911,258,16,274,0.0001288,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-59e9-7cc0-9041-d6a5b88df681.json,True,34.0
v1-gpt4.1-mini-20260616T205257451144Z-Mbpp-9-r0,v1-gpt4.1-mini,Mbpp/9,0,MBPP+,find_Rotations,"""""""
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.
assert find_Rotations(""aaaa"") == 1
""""""
",0,generate_solution -> run_visible_tests,"def find_Rotations(s: str) -> int:
    n = len(s)
    for i in range(1, n + 1):
        if n % i == 0:
            if s == s[i:] + s[:i]:
                return i
    return n","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205257451144Z-Mbpp-9-r0.json,True,True,True,1.0,pass,pass,0,0,3,101,,,019ed235-6deb-78c3-9d64-c089723e9ed2,019ed235-6deb-78c3-9d64-c089723e9ed2,LangGraph,success,,2026-06-16T20:52:57.451429Z,2026-06-16T20:53:00.310706Z,2.859277,159,59,218,0.000158,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-6deb-78c3-9d64-c089723e9ed2.json,True,20.0
v1-gpt4.1-mini-20260616T205302954125Z-Mbpp-11-r0,v1-gpt4.1-mini,Mbpp/11,0,MBPP+,remove_Occ,"""""""
Write a python function to remove first and last occurrence of a given character from the string.
assert remove_Occ(""hello"",""l"") == ""heo""
""""""
",0,generate_solution -> run_visible_tests,"def remove_Occ(s, c):
    first = s.find(c)
    last = s.rfind(c)
    if first == -1:
        return s
    if first == last:
        return s[:first] + s[first+1:]
    return s[:first] + s[first+1:last] + s[last+1:]","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205302954125Z-Mbpp-11-r0.json,True,True,True,1.0,pass,pass,0,0,3,103,,,019ed235-836a-7900-96db-3c979c13c04c,019ed235-836a-7900-96db-3c979c13c04c,LangGraph,success,,2026-06-16T20:53:02.954419Z,2026-06-16T20:53:05.663080Z,2.708661,158,71,229,0.0001768,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-836a-7900-96db-3c979c13c04c.json,True,25.0
v1-gpt4.1-mini-20260616T205308496085Z-Mbpp-12-r0,v1-gpt4.1-mini,Mbpp/12,0,MBPP+,sort_matrix,"""""""
Write a function to sort a given matrix in ascending order according to the sum of its rows.
assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
""""""
",0,generate_solution -> run_visible_tests,"def sort_matrix(matrix):
    return sorted(matrix, key=sum)","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205308496085Z-Mbpp-12-r0.json,True,True,True,1.0,pass,pass,0,0,3,106,,,019ed235-9910-72a1-b198-9b0d735a6657,019ed235-9910-72a1-b198-9b0d735a6657,LangGraph,success,,2026-06-16T20:53:08.496359Z,2026-06-16T20:53:10.686290Z,2.189931,330,13,343,0.0001528,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-9910-72a1-b198-9b0d735a6657.json,True,48.0
v1-gpt4.1-mini-20260616T205313382355Z-Mbpp-14-r0,v1-gpt4.1-mini,Mbpp/14,0,MBPP+,find_Volume,"""""""
Write a python function to find the volume of a triangular prism.
assert find_Volume(10,8,6) == 240
""""""
",0,generate_solution -> run_visible_tests,"def find_Volume(base, height, length):
    # Area of the triangular base = 0.5 * base * height
    area = 0.5 * base * height
    # Volume = area of base * length
    volume = area * length
    return volume","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205313382355Z-Mbpp-14-r0.json,True,True,True,1.0,pass,pass,0,0,3,108,,,019ed235-ac26-72e1-877d-8ef9109a083d,019ed235-ac26-72e1-877d-8ef9109a083d,LangGraph,success,,2026-06-16T20:53:13.382603Z,2026-06-16T20:53:16.140062Z,2.757459,164,60,224,0.0001616,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-ac26-72e1-877d-8ef9109a083d.json,True,23.0
v1-gpt4.1-mini-20260616T205318685395Z-Mbpp-16-r0,v1-gpt4.1-mini,Mbpp/16,0,MBPP+,text_lowercase_underscore,"""""""
Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
assert text_lowercase_underscore(""aab_cbbbc"")==(True)
""""""
",0,generate_solution -> run_visible_tests,"import re

def text_lowercase_underscore(s: str) -> bool:
    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)+', s))","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205318685395Z-Mbpp-16-r0.json,True,False,False,0.0,pass,fail,0,7,3,113,,,019ed235-c0dd-7173-a338-f53c6a805a20,019ed235-c0dd-7173-a338-f53c6a805a20,LangGraph,success,,2026-06-16T20:53:18.685728Z,2026-06-16T20:53:21.270632Z,2.584904,175,36,211,0.0001276,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-c0dd-7173-a338-f53c6a805a20.json,False,28.0
v1-gpt4.1-mini-20260616T205323879509Z-Mbpp-17-r0,v1-gpt4.1-mini,Mbpp/17,0,MBPP+,square_perimeter,"""""""
Write a function that returns the perimeter of a square given its side length as input.
assert square_perimeter(10)==40
""""""
",0,generate_solution -> run_visible_tests,"def square_perimeter(side_length):
    return 4 * side_length","{""debug_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/evals/v1-gpt4.1-mini-20260616T205323879509Z-Mbpp-17-r0.json,True,True,True,1.0,pass,pass,0,0,3,101,,,019ed235-d527-7291-86f5-c44e3e93c6b7,019ed235-d527-7291-86f5-c44e3e93c6b7,LangGraph,success,,2026-06-16T20:53:23.879772Z,2026-06-16T20:53:25.736852Z,1.85708,139,14,153,7.8e-05,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt4.1-mini/traces/019ed235-d527-7291-86f5-c44e3e93c6b7.json,True,75.0
