run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-haiku-4-5-20260506T144630039432Z-5a8b57f25542995d1e6f1371-r0,v3-haiku-4-5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144630039432Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdc1-3199-7bc2-9681-45f9f5c8638e,019dfdc1-3199-7bc2-9681-45f9f5c8638e,LangGraph,success,,2026-05-06T14:46:30.041166Z,2026-05-06T14:46:34.922159Z,4.880993,3126,154,3280,0.003896,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-3199-7bc2-9681-45f9f5c8638e.json,True,33.0
v3-haiku-4-5-20260506T144634926207Z-5a8c7595554299585d9e36b6-r0,v3-haiku-4-5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Ambassador to Czechoslovakia,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Kiss and Tell (1945 film); Meet Corliss Archer (TV series),1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144634926207Z-5a8c7595554299585d9e36b6-r0.json,False,False,False,0.0,0.0,0.0,True,0.5,019dfdc1-44ae-7c71-8f04-1295d0f609f1,019dfdc1-44ae-7c71-8f04-1295d0f609f1,LangGraph,success,,2026-05-06T14:46:34.926523Z,2026-05-06T14:46:37.995654Z,3.069131,2443,135,2578,0.003118,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-44ae-7c71-8f04-1295d0f609f1.json,False,60.0
v3-haiku-4-5-20260506T144637997850Z-5a85ea095542994775f606a8-r0,v3-haiku-4-5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144637997850Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdc1-50ae-7f70-9576-d3e4ef9dde92,019dfdc1-50ae-7f70-9576-d3e4ef9dde92,LangGraph,success,,2026-05-06T14:46:37.998114Z,2026-05-06T14:46:40.908449Z,2.910335,2468,119,2587,0.003063,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-50ae-7f70-9576-d3e4ef9dde92.json,True,65.0
v3-haiku-4-5-20260506T144640910598Z-5adbf0a255429947ff17385a-r0,v3-haiku-4-5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144640910598Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdc1-5c0e-73c2-bcf4-c50f7ed81b04,019dfdc1-5c0e-73c2-bcf4-c50f7ed81b04,LangGraph,success,,2026-05-06T14:46:40.910863Z,2026-05-06T14:46:45.094747Z,4.183884,3096,153,3249,0.003861,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-5c0e-73c2-bcf4-c50f7ed81b04.json,True,40.0
v3-haiku-4-5-20260506T144645097364Z-5a8e3ea95542995a26add48d-r0,v3-haiku-4-5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Greenwich Village,Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Doc NYC; New York Society of Model Engineers; Nola (film); Ron Bottcher,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144645097364Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.4,0.5714285714285715,True,1.0,019dfdc1-6c69-7ae1-9e30-c44fabcb56e6,019dfdc1-6c69-7ae1-9e30-c44fabcb56e6,LangGraph,success,,2026-05-06T14:46:45.097722Z,2026-05-06T14:46:50.645946Z,5.548224,6380,242,6622,0.00759,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-6c69-7ae1-9e30-c44fabcb56e6.json,False,24.0
v3-haiku-4-5-20260506T144650648137Z-5abd94525542992ac4f382d2-r0,v3-haiku-4-5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); List of awards and nominations received by Shinee; Seventeen discography; Winner (band),2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144650648137Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdc1-8218-7f81-9863-dd6391ba6f8e,019dfdc1-8218-7f81-9863-dd6391ba6f8e,LangGraph,success,,2026-05-06T14:46:50.648419Z,2026-05-06T14:47:00.393030Z,9.744611,6102,270,6372,0.007452,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-8218-7f81-9863-dd6391ba6f8e.json,True,3.0
v3-haiku-4-5-20260506T144700395470Z-5a85b2d95542997b5ce40028-r0,v3-haiku-4-5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Jim Cummings; Sachin Warrier,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144700395470Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfdc1-a82b-7241-a2ca-fb7b0d6ec711,019dfdc1-a82b-7241-a2ca-fb7b0d6ec711,LangGraph,success,,2026-05-06T14:47:00.395729Z,2026-05-06T14:47:04.312939Z,3.91721,2436,124,2560,0.003056,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-a82b-7241-a2ca-fb7b0d6ec711.json,True,41.0
v3-haiku-4-5-20260506T144704315198Z-5a87ab905542996e4f3088c1-r0,v3-haiku-4-5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144704315198Z-5a87ab905542996e4f3088c1-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdc1-b77b-7411-9bb7-a00013f953c8,019dfdc1-b77b-7411-9bb7-a00013f953c8,LangGraph,success,,2026-05-06T14:47:04.315454Z,2026-05-06T14:47:07.196708Z,2.881254,2585,123,2708,0.0032,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-b77b-7411-9bb7-a00013f953c8.json,True,68.0
v3-haiku-4-5-20260506T144707198741Z-5a7bbb64554299042af8f7cc-r0,v3-haiku-4-5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,"Annie Morton is older. (Annie Morton was born October 8, 1970; Terry Richardson was born August 14, 1965, making Richardson actually older.)

Wait, let me recalculate: Terry Richardson (born August 14, 1965) is older than Annie Morton (born October 8, 1970).

Terry Richardson",Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Molly Childers; Snoecks; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144707198741Z-5a7bbb64554299042af8f7cc-r0.json,False,True,True,0.046511627906976744,1.0,0.08888888888888888,True,1.0,019dfdc1-c2be-7741-8bac-9068d67a27ff,019dfdc1-c2be-7741-8bac-9068d67a27ff,LangGraph,success,,2026-05-06T14:47:07.198970Z,2026-05-06T14:47:10.838370Z,3.6394,2884,225,3109,0.004009,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-c2be-7741-8bac-9068d67a27ff.json,False,45.0
v3-haiku-4-5-20260506T144710841069Z-5a8db19d5542994ba4e3dd00-r0,v3-haiku-4-5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,Yes,For Against; Local H,Against the Wind (album); For Against; Hammerjack's; History (band); Local H; Stay (Shakespears Sister song); Viol,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-haiku-4-5"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/evals/v3-haiku-4-5-20260506T144710841069Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdc1-d0f9-7203-abbb-6489bd32e828,019dfdc1-d0f9-7203-abbb-6489bd32e828,LangGraph,success,,2026-05-06T14:47:10.841336Z,2026-05-06T14:47:14.350777Z,3.509441,2948,152,3100,0.003708,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-haiku-4-5/traces/019dfdc1-d0f9-7203-abbb-6489bd32e828.json,True,49.0
