run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163819908616Z-5a8b57f25542995d1e6f1371-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163819908616Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea819-7006-7d22-b59b-45e2820eb653,019ea819-7006-7d22-b59b-45e2820eb653,LangGraph,success,,2026-06-08T16:38:19.910862Z,2026-06-08T16:38:29.409167Z,9.498305,4940,86,5026,0.0012372,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea819-7006-7d22-b59b-45e2820eb653.json,True,3.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163829413816Z-5a8c7595554299585d9e36b6-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"The retrieved information indicates that Shirley Temple portrayed Corliss Archer in the film Kiss and Tell, and she held government positions as United States ambassador to Ghana and to Czechoslovakia, as well as Chief of Protocol of the United States. 

No further retrieval is needed to answer the question.
The woman who portrayed Corliss Archer in the film Kiss and Tell was Shirley Temple. She held government positions as the United States ambassador to Ghana and to Czechoslovakia, and she also served as Chief of Protocol of the United States.",Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163829413816Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.036585365853658534,1.0,0.07058823529411765,True,1.0,019ea819-9526-7842-97ed-afd739d0f904,019ea819-9526-7842-97ed-afd739d0f904,LangGraph,success,,2026-06-08T16:38:29.414020Z,2026-06-08T16:38:37.189882Z,7.775862,4411,175,4586,0.0014472,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea819-9526-7842-97ed-afd739d0f904.json,False,9.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163837192309Z-5a85ea095542994775f606a8-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163837192309Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea819-b388-7be2-a0fa-ee5a6b6cfc71,019ea819-b388-7be2-a0fa-ee5a6b6cfc71,LangGraph,success,,2026-06-08T16:38:37.192556Z,2026-06-08T16:38:40.881950Z,3.689394,1154,37,1191,0.0002896,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea819-b388-7be2-a0fa-ee5a6b6cfc71.json,True,58.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163840882848Z-5adbf0a255429947ff17385a-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163840882848Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea819-c1f2-7420-bd91-928d613e679c,019ea819-c1f2-7420-bd91-928d613e679c,LangGraph,success,,2026-06-08T16:38:40.882947Z,2026-06-08T16:38:47.680547Z,6.7976,4721,89,4810,0.0011972,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea819-c1f2-7420-bd91-928d613e679c.json,True,21.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163847682451Z-5a8e3ea95542995a26add48d-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","The retrieved information indicates that Adriana Trigiani, the director of ""Big Stone Gap,"" is based in Greenwich Village, New York City. No further retrieval is needed to answer the original question.",Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Conrad Brooks; Doc NYC; Gone in 60 Seconds (2000 film); Index Magazine; New Haven Documentary Film Festival; New York Society of Model Engineers,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163847682451Z-5a8e3ea95542995a26add48d-r0.json,False,True,True,0.17857142857142858,1.0,0.30303030303030304,True,1.0,019ea819-dc82-7073-addb-c2211ae00e3c,019ea819-dc82-7073-addb-c2211ae00e3c,LangGraph,success,,2026-06-08T16:38:47.682662Z,2026-06-08T16:38:55.407421Z,7.724759,4274,100,4374,0.0012932,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea819-dc82-7073-addb-c2211ae00e3c.json,False,10.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163855408823Z-5abd94525542992ac4f382d2-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); List of awards and nominations received by Shinee; Seventeen discography; Winner (band),2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163855408823Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea819-fab0-7ab3-acc9-b29aa5674e6f,019ea819-fab0-7ab3-acc9-b29aa5674e6f,LangGraph,success,,2026-06-08T16:38:55.408978Z,2026-06-08T16:39:02.686170Z,7.277192,3252,63,3315,0.0007908,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea819-fab0-7ab3-acc9-b29aa5674e6f.json,True,13.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163902688972Z-5a85b2d95542997b5ce40028-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Management consulting,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163902688972Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea81a-1721-7980-b76b-0972e82cb52d,019ea81a-1721-7980-b76b-0972e82cb52d,LangGraph,success,,2026-06-08T16:39:02.689214Z,2026-06-08T16:39:05.973749Z,3.284535,1076,33,1109,0.000268,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea81a-1721-7980-b76b-0972e82cb52d.json,True,65.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163905976736Z-5a87ab905542996e4f3088c1-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","4,000 capacity (3,677 seated)",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163905976736Z-5a87ab905542996e4f3088c1-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea81a-23f8-7263-bf47-bb815c275f8d,019ea81a-23f8-7263-bf47-bb815c275f8d,LangGraph,success,,2026-06-08T16:39:05.976938Z,2026-06-08T16:39:09.444716Z,3.467778,1246,39,1285,0.0003032,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea81a-23f8-7263-bf47-bb815c275f8d.json,False,62.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163909446397Z-5a7bbb64554299042af8f7cc-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163909446397Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea81a-3186-7943-98a0-7cd2b63a8999,019ea81a-3186-7943-98a0-7cd2b63a8999,LangGraph,success,,2026-06-08T16:39:09.446746Z,2026-06-08T16:39:14.462267Z,5.015521,1411,64,1475,0.0003752,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea81a-3186-7943-98a0-7cd2b63a8999.json,True,46.0
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163914463671Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); Badly Drawn Boy discography; For Against; Gary Lee Conner; History (band); Local H; Ophur; Stay (Shakespears Sister song); Viol,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""workflow boundary node connected to START or END"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""boundary_io"", ""placement_reason"": ""internal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini-20260608T163914463671Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea81a-451f-7922-b1c6-8ec55ab5ca83,019ea81a-451f-7922-b1c6-8ec55ab5ca83,LangGraph,success,,2026-06-08T16:39:14.463832Z,2026-06-08T16:39:21.116650Z,6.652818,4771,88,4859,0.001208,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini/traces/019ea81a-451f-7922-b1c6-8ec55ab5ca83.json,True,23.0
