run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154212168899Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-0cc9-71e1-9d60-11e617b78663,019ea7e6-0cc9-71e1-9d60-11e617b78663,LangGraph,success,,2026-06-08T15:42:12.169052Z,2026-06-08T15:42:18.687199Z,6.518147,1981,92,2073,0.00928,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-0cc9-71e1-9d60-11e617b78663.json,True,40.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154218688634Z-5a8c7595554299585d9e36b6-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154218688634Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea7e6-2640-79c1-8259-c991f49dde36,019ea7e6-2640-79c1-8259-c991f49dde36,LangGraph,success,,2026-06-08T15:42:18.688807Z,2026-06-08T15:42:29.132239Z,10.443432,3778,175,3953,0.014155,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-2640-79c1-8259-c991f49dde36.json,False,25.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154229133811Z-5a85ea095542994775f606a8-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154229133811Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-4f0d-7fa3-b63b-0953dcb58c53,019ea7e6-4f0d-7fa3-b63b-0953dcb58c53,LangGraph,success,,2026-06-08T15:42:29.133971Z,2026-06-08T15:42:33.332606Z,4.198635,1412,56,1468,0.00587,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-4f0d-7fa3-b63b-0953dcb58c53.json,True,62.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154233334117Z-5adbf0a255429947ff17385a-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154233334117Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-5f76-7f43-89e6-5b9890dec9ee,019ea7e6-5f76-7f43-89e6-5b9890dec9ee,LangGraph,success,,2026-06-08T15:42:33.334306Z,2026-06-08T15:42:37.828173Z,4.493867,1890,79,1969,0.00826,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-5f76-7f43-89e6-5b9890dec9ee.json,True,60.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154237829804Z-5a8e3ea95542995a26add48d-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Doc NYC; End of the Road (1970 film); I Love NY (2015 film); Nola (film); Pamela B. Green,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154237829804Z-5a8e3ea95542995a26add48d-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-7105-7112-8a03-bf1e1d62c2c6,019ea7e6-7105-7112-8a03-bf1e1d62c2c6,LangGraph,success,,2026-06-08T15:42:37.830001Z,2026-06-08T15:42:49.719964Z,11.889963,3303,355,3658,0.01848,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-7105-7112-8a03-bf1e1d62c2c6.json,True,17.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154249721326Z-5abd94525542992ac4f382d2-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Independent Spirit Awards; Seventeen discography; Winner (band); Wooster and Davis,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154249721326Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-9f79-76f0-8efd-c95da9f9fba5,019ea7e6-9f79-76f0-8efd-c95da9f9fba5,LangGraph,success,,2026-06-08T15:42:49.721484Z,2026-06-08T15:42:59.444589Z,9.723105,3725,204,3929,0.01499,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-9f79-76f0-8efd-c95da9f9fba5.json,True,26.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154259446238Z-5a85b2d95542997b5ce40028-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154259446238Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea7e6-c576-7331-955a-c79213eee62a,019ea7e6-c576-7331-955a-c79213eee62a,LangGraph,success,,2026-06-08T15:42:59.446418Z,2026-06-08T15:43:03.028804Z,3.582386,1404,53,1457,0.00594,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-c576-7331-955a-c79213eee62a.json,True,74.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154303030012Z-5a87ab905542996e4f3088c1-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154303030012Z-5a87ab905542996e4f3088c1-r0.json,False,False,True,1.0,0.5,0.6666666666666666,True,1.0,019ea7e6-d376-7c11-9747-c4593f4feaac,019ea7e6-d376-7c11-9747-c4593f4feaac,LangGraph,success,,2026-06-08T15:43:03.030140Z,2026-06-08T15:43:07.229629Z,4.199489,1476,53,1529,0.00624,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-d376-7c11-9747-c4593f4feaac.json,False,61.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154307231484Z-5a7bbb64554299042af8f7cc-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154307231484Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-e3df-72c1-a291-f8810e26645c,019ea7e6-e3df-72c1-a291-f8810e26645c,LangGraph,success,,2026-06-08T15:43:07.231649Z,2026-06-08T15:43:12.903557Z,5.671908,1735,114,1849,0.00863,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-e3df-72c1-a291-f8810e26645c.json,True,45.0
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154312905561Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,EFL Cup; For Against; Lawrence Austin; Local H,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""retrieval decision controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""decision_terminal"", ""placement_reason"": ""non-terminal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5-20260608T154312905561Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7e6-fa09-7da2-8108-4504db71310f,019ea7e6-fa09-7da2-8108-4504db71310f,LangGraph,success,,2026-06-08T15:43:12.905968Z,2026-06-08T15:43:16.544900Z,3.638932,1025,46,1071,0.00396,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7e6-fa09-7da2-8108-4504db71310f.json,True,73.0
