run_id,config_id,example_id,repeat,benchmark,entry_point,prompt,repair_attempts,nodes,solution,model_config,model_kwargs,eval_file,base_pass,plus_pass,mbpp_plus_pass,accuracy,base_status,plus_status,base_failed_count,plus_failed_count,base_total_count,plus_total_count,base_error,plus_error,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0,v1-gpt5.5,Mbpp/2,0,MBPP+,similar_elements,"""""""
Write a function to find the shared elements from the given two lists.
assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))
""""""
",0,generate_solution -> run_visible_tests,"def similar_elements(list1, list2):
    return tuple(sorted(set(list1) & set(list2)))","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210818253237Z-Mbpp-2-r0.json,True,True,True,1.0,pass,pass,0,0,3,108,,,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,019ed243-7ace-7ee0-8a6b-fe79a0b4ee48,LangGraph,success,,2026-06-16T21:08:18.254565Z,2026-06-16T21:08:25.416806Z,7.162241,233,189,422,0.006835,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed243-7ace-7ee0-8a6b-fe79a0b4ee48.json,True,32.0
v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0,v1-gpt5.5,Mbpp/3,0,MBPP+,is_not_prime,"""""""
Write a python function to identify non-prime numbers.
assert is_not_prime(2) == False
""""""
",0,generate_solution -> run_visible_tests,"def is_not_prime(n):
    if n <= 1:
        return True
    if n == 2:
        return False
    if n % 2 == 0:
        return True
    for i in range(3, int(n ** 0.5) + 1, 2):
        if n % i == 0:
            return True
    return False","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210828333834Z-Mbpp-3-r0.json,True,True,True,1.0,pass,pass,0,0,5,103,,,019ed243-a22e-7da3-978f-205863b21fdc,019ed243-a22e-7da3-978f-205863b21fdc,LangGraph,success,,2026-06-16T21:08:28.334116Z,2026-06-16T21:08:33.697312Z,5.363196,156,187,343,0.00639,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed243-a22e-7da3-978f-205863b21fdc.json,True,37.0
v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0,v1-gpt5.5,Mbpp/4,0,MBPP+,heap_queue_largest,"""""""
Write a function to find the n largest integers from a given list of numbers, returned in descending order.
assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]
""""""
",0,generate_solution -> run_visible_tests,"import heapq

def heap_queue_largest(nums, n):
    return heapq.nlargest(n, nums)","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210836293230Z-Mbpp-4-r0.json,True,True,True,1.0,pass,pass,0,0,3,106,,,019ed243-c145-7d01-8b45-31831b69a6ea,019ed243-c145-7d01-8b45-31831b69a6ea,LangGraph,success,,2026-06-16T21:08:36.293498Z,2026-06-16T21:08:41.054168Z,4.76067,286,117,403,0.00494,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed243-c145-7d01-8b45-31831b69a6ea.json,True,40.0
v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0,v1-gpt5.5,Mbpp/6,0,MBPP+,differ_At_One_Bit_Pos,"""""""
Write a python function to check whether the two numbers differ at one bit position only or not.
assert differ_At_One_Bit_Pos(13,9) == True
""""""
",0,generate_solution -> run_visible_tests,"def differ_At_One_Bit_Pos(a, b):
    x = a ^ b
    return x != 0 and (x & (x - 1)) == 0","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210843575486Z-Mbpp-6-r0.json,True,True,True,1.0,pass,pass,0,0,6,108,,,019ed243-ddb7-7271-b86d-169b1290477b,019ed243-ddb7-7271-b86d-169b1290477b,LangGraph,success,,2026-06-16T21:08:43.575751Z,2026-06-16T21:08:49.078846Z,5.503095,231,178,409,0.006495,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed243-ddb7-7271-b86d-169b1290477b.json,True,36.0
v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0,v1-gpt5.5,Mbpp/7,0,MBPP+,find_char_long,"""""""
Write a function to find all words which are at least 4 characters long in a string.
assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])
""""""
",0,generate_solution -> run_visible_tests,"import re

def find_char_long(text):
    return re.findall(r""\b\w{4,}\b"", text)","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210851599111Z-Mbpp-7-r0.json,True,True,True,1.0,pass,pass,0,0,3,102,,,019ed243-fd0f-71b2-8f59-7099c2652922,019ed243-fd0f-71b2-8f59-7099c2652922,LangGraph,success,,2026-06-16T21:08:51.599380Z,2026-06-16T21:09:00.605052Z,9.005672,211,240,451,0.008255,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed243-fd0f-71b2-8f59-7099c2652922.json,True,23.0
v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0,v1-gpt5.5,Mbpp/8,0,MBPP+,square_nums,"""""""
Write a function to find squares of individual elements in a list.
assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]
""""""
",0,generate_solution -> run_visible_tests,"def square_nums(nums):
    return [x * x for x in nums]","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210903199089Z-Mbpp-8-r0.json,True,True,True,1.0,pass,pass,0,0,3,103,,,019ed244-2a5f-7553-b605-ba26fb944e14,019ed244-2a5f-7553-b605-ba26fb944e14,LangGraph,success,,2026-06-16T21:09:03.199365Z,2026-06-16T21:09:06.926881Z,3.727516,257,52,309,0.002845,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed244-2a5f-7553-b605-ba26fb944e14.json,True,65.0
v1-gpt5.5-20260616T210909458362Z-Mbpp-9-r0,v1-gpt5.5,Mbpp/9,0,MBPP+,find_Rotations,"""""""
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.
assert find_Rotations(""aaaa"") == 1
""""""
",0,generate_solution -> run_visible_tests,"def find_Rotations(s):
    if not s:
        return 0
    return (s + s).find(s, 1)","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210909458362Z-Mbpp-9-r0.json,True,True,True,1.0,pass,pass,0,0,3,101,,,019ed244-42d2-78a1-9a53-abcaf90692c0,019ed244-42d2-78a1-9a53-abcaf90692c0,LangGraph,success,,2026-06-16T21:09:09.458636Z,2026-06-16T21:09:21.385360Z,11.926724,158,439,597,0.01396,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed244-42d2-78a1-9a53-abcaf90692c0.json,True,15.0
v1-gpt5.5-20260616T210924053857Z-Mbpp-11-r0,v1-gpt5.5,Mbpp/11,0,MBPP+,remove_Occ,"""""""
Write a python function to remove first and last occurrence of a given character from the string.
assert remove_Occ(""hello"",""l"") == ""heo""
""""""
",0,generate_solution -> run_visible_tests,"def remove_Occ(string, char):
    first = string.find(char)
    if first == -1 or char == """":
        return string

    last = string.rfind(char)

    if first == last:
        return string[:first] + string[first + len(char):]

    return string[:first] + string[first + len(char):last] + string[last + len(char):]","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210924053857Z-Mbpp-11-r0.json,True,True,True,1.0,pass,pass,0,0,3,103,,,019ed244-7bd6-7b21-9e61-129794eebb90,019ed244-7bd6-7b21-9e61-129794eebb90,LangGraph,success,,2026-06-16T21:09:24.054275Z,2026-06-16T21:09:33.568018Z,9.513743,157,404,561,0.012905,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed244-7bd6-7b21-9e61-129794eebb90.json,True,22.0
v1-gpt5.5-20260616T210936056058Z-Mbpp-12-r0,v1-gpt5.5,Mbpp/12,0,MBPP+,sort_matrix,"""""""
Write a function to sort a given matrix in ascending order according to the sum of its rows.
assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
""""""
",0,generate_solution -> run_visible_tests,"def sort_matrix(matrix):
    return sorted(matrix, key=sum)","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210936056058Z-Mbpp-12-r0.json,True,True,True,1.0,pass,pass,0,0,3,106,,,019ed244-aab8-7e61-9712-f9c1a3cf4c6d,019ed244-aab8-7e61-9712-f9c1a3cf4c6d,LangGraph,success,,2026-06-16T21:09:36.056318Z,2026-06-16T21:09:40.326698Z,4.27038,329,107,436,0.004855,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed244-aab8-7e61-9712-f9c1a3cf4c6d.json,True,50.0
v1-gpt5.5-20260616T210942920015Z-Mbpp-14-r0,v1-gpt5.5,Mbpp/14,0,MBPP+,find_Volume,"""""""
Write a python function to find the volume of a triangular prism.
assert find_Volume(10,8,6) == 240
""""""
",0,generate_solution -> run_visible_tests,"def find_Volume(l, b, h):
    return (l * b * h) / 2","{""debug_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_solution"": {""model"": ""gpt-5.5"", ""provider"": ""openai"", ""temperature"": 0}}","{""debug_solution"": {""temperature"": 0}, ""generate_solution"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/evals/v1-gpt5.5-20260616T210942920015Z-Mbpp-14-r0.json,True,True,True,1.0,pass,pass,0,0,3,108,,,019ed244-c588-7b90-ae8b-f7578d483b56,019ed244-c588-7b90-ae8b-f7578d483b56,LangGraph,success,,2026-06-16T21:09:42.920347Z,2026-06-16T21:09:48.467689Z,5.547342,163,153,316,0.005405,/Users/chris/Documents/GitHub/workflow-rag-agent/CODE-WORKFLOW/analysis/v1-gpt5.5/traces/019ed244-c588-7b90-ae8b-f7578d483b56.json,True,35.0
