run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165054785021Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea824-f4c1-7c81-8ba7-0267a760712b,019ea824-f4c1-7c81-8ba7-0267a760712b,LangGraph,success,,2026-06-08T16:50:54.785121Z,2026-06-08T16:51:05.135897Z,10.350776,5490,105,5595,0.00571,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea824-f4c1-7c81-8ba7-0267a760712b.json,True,25.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165105137903Z-5a8c7595554299585d9e36b6-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Indriati Iskak; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Molly Childers; Nelson Rockefeller; Shirley Temple,3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165105137903Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea825-1d32-7fd3-bf40-3ed44a3a3cf6,019ea825-1d32-7fd3-bf40-3ed44a3a3cf6,LangGraph,success,,2026-06-08T16:51:05.138128Z,2026-06-08T16:51:15.377563Z,10.239435,6377,128,6505,0.005245,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-1d32-7fd3-bf40-3ed44a3a3cf6.json,False,26.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165115379379Z-5a85ea095542994775f606a8-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165115379379Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea825-4533-77f3-887f-4e21306c7839,019ea825-4533-77f3-887f-4e21306c7839,LangGraph,success,,2026-06-08T16:51:15.379605Z,2026-06-08T16:51:22.749731Z,7.370126,3860,92,3952,0.004285,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-4533-77f3-887f-4e21306c7839.json,True,49.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165122751482Z-5adbf0a255429947ff17385a-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165122751482Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea825-61ff-7163-885f-923cb582fa09,019ea825-61ff-7163-885f-923cb582fa09,LangGraph,success,,2026-06-08T16:51:22.751654Z,2026-06-08T16:51:31.016352Z,8.264698,5160,113,5273,0.00525,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-61ff-7163-885f-923cb582fa09.json,True,41.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165131017877Z-5a8e3ea95542995a26add48d-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Greenwich Village,Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Doc NYC; End of the Road (1970 film); I Love NY (2015 film); Nola (film); Pamela B. Green,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165131017877Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.4,0.5714285714285715,True,1.0,019ea825-824a-7580-9295-d652dd325641,019ea825-824a-7580-9295-d652dd325641,LangGraph,success,,2026-06-08T16:51:31.018064Z,2026-06-08T16:51:39.748485Z,8.730421,3273,161,3434,0.005875,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-824a-7580-9295-d652dd325641.json,False,36.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165139750082Z-5abd94525542992ac4f382d2-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165139750082Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea825-a466-7063-9c93-b9883c47f568,019ea825-a466-7063-9c93-b9883c47f568,LangGraph,success,,2026-06-08T16:51:39.750260Z,2026-06-08T16:51:45.661856Z,5.911596,1328,147,1475,0.00531,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-a466-7063-9c93-b9883c47f568.json,True,55.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165145663070Z-5a85b2d95542997b5ce40028-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165145663070Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea825-bb7f-7311-b70c-f9ad69653428,019ea825-bb7f-7311-b70c-f9ad69653428,LangGraph,success,,2026-06-08T16:51:45.663213Z,2026-06-08T16:51:49.678969Z,4.015756,1356,47,1403,0.002625,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-bb7f-7311-b70c-f9ad69653428.json,True,70.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165149680371Z-5a87ab905542996e4f3088c1-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165149680371Z-5a87ab905542996e4f3088c1-r0.json,False,False,True,1.0,0.5,0.6666666666666666,True,1.0,019ea825-cb30-7ba1-baad-6b8321b89df2,019ea825-cb30-7ba1-baad-6b8321b89df2,LangGraph,success,,2026-06-08T16:51:49.680526Z,2026-06-08T16:51:54.656508Z,4.975982,1471,108,1579,0.004575,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-cb30-7ba1-baad-6b8321b89df2.json,False,62.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165154658058Z-5a7bbb64554299042af8f7cc-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165154658058Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea825-dea2-72f2-8a85-f0a7e1e4075d,019ea825-dea2-72f2-8a85-f0a7e1e4075d,LangGraph,success,,2026-06-08T16:51:54.658322Z,2026-06-08T16:52:05.146862Z,10.48854,5247,172,5419,0.00708,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea825-dea2-72f2-8a85-f0a7e1e4075d.json,True,23.0
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165205148290Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); EFL Cup; For Against; Hallelujah! I'm a Bum (album); Hammerjack's; Lawrence Austin; Local H; Stay (Shakespears Sister song),3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""normal support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""recovery_terminal"", ""placement_reason"": ""recovery node repairs failed retrieval context"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5-20260608T165205148290Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea826-079c-7151-8f62-f4cb5c93a646,019ea826-079c-7151-8f62-f4cb5c93a646,LangGraph,success,,2026-06-08T16:52:05.148464Z,2026-06-08T16:52:14.256197Z,9.107733,5027,107,5134,0.004625,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5/traces/019ea826-079c-7151-8f62-f4cb5c93a646.json,True,31.0
