run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-gpt-4.1-mini-qwen3.5-2b-20260506T155950380538Z-5a8b57f25542995d1e6f1371-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,no,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T155950380538Z-5a8b57f25542995d1e6f1371-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfe04-566e-7b81-b771-1d25f5ae0568,019dfe04-566e-7b81-b771-1d25f5ae0568,LangGraph,success,,2026-05-06T15:59:50.382189Z,2026-05-06T15:59:56.928628Z,6.546439,1824,56,1880,0.0004832,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-566e-7b81-b771-1d25f5ae0568.json,False,5.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T155956941471Z-5a8c7595554299585d9e36b6-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Shirley Temple,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T155956941471Z-5a8c7595554299585d9e36b6-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfe04-700e-7a21-a119-d6c4db6bc916,019dfe04-700e-7a21-a119-d6c4db6bc916,LangGraph,success,,2026-05-06T15:59:56.942337Z,2026-05-06T16:00:02.810342Z,5.868005,3314,63,3377,0.0010916,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-700e-7a21-a119-d6c4db6bc916.json,False,10.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160002812244Z-5a85ea095542994775f606a8-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160002812244Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfe04-86fc-7182-8566-b7840c4d96da,019dfe04-86fc-7182-8566-b7840c4d96da,LangGraph,success,,2026-05-06T16:00:02.812477Z,2026-05-06T16:00:05.618552Z,2.806075,1221,36,1257,0.000338,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-86fc-7182-8566-b7840c4d96da.json,True,45.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160005619890Z-5adbf0a255429947ff17385a-r0,v3-gpt-4.1-mini-qwen3.5-2b,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,unknown,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160005619890Z-5adbf0a255429947ff17385a-r0.json,False,True,True,0.0,0.0,0.0,True,1.0,019dfe04-91f4-7612-bd48-526029299cc5,019dfe04-91f4-7612-bd48-526029299cc5,LangGraph,success,,2026-05-06T16:00:05.620051Z,2026-05-06T16:00:09.190201Z,3.57015,1731,61,1792,0.0004736,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-91f4-7612-bd48-526029299cc5.json,False,30.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160009191638Z-5a8e3ea95542995a26add48d-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Greenwich Village,Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Conrad Brooks; Doc NYC; Gone in 60 Seconds (2000 film); Index Magazine; New Haven Documentary Film Festival; New York Society of Model Engineers,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160009191638Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.4,0.5714285714285715,True,1.0,019dfe04-9fe7-7b82-b763-28ca58866919,019dfe04-9fe7-7b82-b763-28ca58866919,LangGraph,success,,2026-05-06T16:00:09.191814Z,2026-05-06T16:00:14.336668Z,5.144854,3217,58,3275,0.001054,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-9fe7-7b82-b763-28ca58866919.json,False,11.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160014338701Z-5abd94525542992ac4f382d2-r0,v3-gpt-4.1-mini-qwen3.5-2b,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160014338701Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfe04-b402-7910-8d13-e4a22f1e015b,019dfe04-b402-7910-8d13-e4a22f1e015b,LangGraph,success,,2026-05-06T16:00:14.338907Z,2026-05-06T16:00:16.656741Z,2.317834,1168,33,1201,0.000318,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-b402-7910-8d13-e4a22f1e015b.json,True,65.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160016658454Z-5a85b2d95542997b5ce40028-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160016658454Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfe04-bd12-7590-8431-3fba6af39c2a,019dfe04-bd12-7590-8431-3fba6af39c2a,LangGraph,success,,2026-05-06T16:00:16.658650Z,2026-05-06T16:00:18.976111Z,2.317461,1198,31,1229,0.0003228,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-bd12-7590-8431-3fba6af39c2a.json,True,66.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160018977391Z-5a87ab905542996e4f3088c1-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","4,000",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160018977391Z-5a87ab905542996e4f3088c1-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfe04-c621-7422-8f64-2e2131045b48,019dfe04-c621-7422-8f64-2e2131045b48,LangGraph,success,,2026-05-06T16:00:18.977643Z,2026-05-06T16:00:21.332566Z,2.354923,1313,33,1346,0.0003404,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-c621-7422-8f64-2e2131045b48.json,False,63.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160021333231Z-5a7bbb64554299042af8f7cc-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160021333231Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfe04-cf55-7ff2-9a5c-73a1db65ee02,019dfe04-cf55-7ff2-9a5c-73a1db65ee02,LangGraph,success,,2026-05-06T16:00:21.333309Z,2026-05-06T16:00:24.701203Z,3.367894,1478,63,1541,0.0004236,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-cf55-7ff2-9a5c-73a1db65ee02.json,True,32.0
v3-gpt-4.1-mini-qwen3.5-2b-20260506T160024702934Z-5a8db19d5542994ba4e3dd00-r0,v3-gpt-4.1-mini-qwen3.5-2b,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,Yes,For Against; Local H,Against the Wind (album); Badly Drawn Boy discography; For Against; Gary Lee Conner; History (band); Local H; Ophur; Viol,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""qwen3.5:2b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""gpt-4.1-mini"", ""provider"": ""openai"", ""temperature"": 0}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""temperature"": 0}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/evals/v3-gpt-4.1-mini-qwen3.5-2b-20260506T160024702934Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfe04-dc7f-75f1-8dcd-05f3c7ac036e,019dfe04-dc7f-75f1-8dcd-05f3c7ac036e,LangGraph,success,,2026-05-06T16:00:24.703117Z,2026-05-06T16:00:28.491042Z,3.787925,1813,57,1870,0.0004828,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-gpt-4.1-mini-qwen3.5-2b/traces/019dfe04-dc7f-75f1-8dcd-05f3c7ac036e.json,True,28.0
