run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152525284449Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7d6-afa6-7bf3-af35-421a978fbfa8,019ea7d6-afa6-7bf3-af35-421a978fbfa8,LangGraph,success,,2026-06-08T15:25:25.286693Z,2026-06-08T15:25:37.331340Z,12.044647,5490,105,5595,0.00571,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d6-afa6-7bf3-af35-421a978fbfa8.json,True,19.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152537334405Z-5a8c7595554299585d9e36b6-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Indriati Iskak; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Molly Childers; Nelson Rockefeller; Shirley Temple,3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152537334405Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea7d6-deb6-7aa1-819b-50b4ebef4d4d,019ea7d6-deb6-7aa1-819b-50b4ebef4d4d,LangGraph,success,,2026-06-08T15:25:37.334555Z,2026-06-08T15:25:48.305236Z,10.970681,6377,128,6505,0.005245,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d6-deb6-7aa1-819b-50b4ebef4d4d.json,False,29.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152548306926Z-5a85ea095542994775f606a8-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152548306926Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7d7-0993-7e50-99b3-45c338415408,019ea7d7-0993-7e50-99b3-45c338415408,LangGraph,success,,2026-06-08T15:25:48.307116Z,2026-06-08T15:25:55.825032Z,7.517916,3860,92,3952,0.004285,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-0993-7e50-99b3-45c338415408.json,True,45.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152555826456Z-5adbf0a255429947ff17385a-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152555826456Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7d7-26f2-7810-80f5-7f917f83fb76,019ea7d7-26f2-7810-80f5-7f917f83fb76,LangGraph,success,,2026-06-08T15:25:55.826705Z,2026-06-08T15:26:04.734232Z,8.907527,5160,113,5273,0.00525,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-26f2-7810-80f5-7f917f83fb76.json,True,34.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152604735474Z-5a8e3ea95542995a26add48d-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Doc NYC; End of the Road (1970 film); I Love NY (2015 film); Nola (film); Pamela B. Green,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152604735474Z-5a8e3ea95542995a26add48d-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7d7-49bf-77b1-b102-05596fa700bf,019ea7d7-49bf-77b1-b102-05596fa700bf,LangGraph,success,,2026-06-08T15:26:04.735631Z,2026-06-08T15:26:16.613448Z,11.877817,3273,324,3597,0.010765,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-49bf-77b1-b102-05596fa700bf.json,True,20.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152616615216Z-5abd94525542992ac4f382d2-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152616615216Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea7d7-7827-7873-a73b-21f443bc7277,019ea7d7-7827-7873-a73b-21f443bc7277,LangGraph,success,,2026-06-08T15:26:16.615378Z,2026-06-08T15:26:22.406408Z,5.79103,1328,152,1480,0.00546,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-7827-7873-a73b-21f443bc7277.json,True,52.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152622407708Z-5a85b2d95542997b5ce40028-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152622407708Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea7d7-8ec7-77c0-84d6-3c0509bb49ea,019ea7d7-8ec7-77c0-84d6-3c0509bb49ea,LangGraph,success,,2026-06-08T15:26:22.407900Z,2026-06-08T15:26:26.836758Z,4.428858,1356,90,1446,0.003915,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-8ec7-77c0-84d6-3c0509bb49ea.json,True,66.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152626837565Z-5a87ab905542996e4f3088c1-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 people",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152626837565Z-5a87ab905542996e4f3088c1-r0.json,False,False,False,0.5,0.5,0.5,True,1.0,019ea7d7-a015-7592-938a-568643c5a4d4,019ea7d7-a015-7592-938a-568643c5a4d4,LangGraph,success,,2026-06-08T15:26:26.837657Z,2026-06-08T15:26:30.642498Z,3.804841,1471,48,1519,0.002775,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-a015-7592-938a-568643c5a4d4.json,False,71.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152630643981Z-5a7bbb64554299042af8f7cc-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152630643981Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7d7-aef4-72d1-99cf-7799a5e52467,019ea7d7-aef4-72d1-99cf-7799a5e52467,LangGraph,success,,2026-06-08T15:26:30.644165Z,2026-06-08T15:26:41.393253Z,10.749088,5247,163,5410,0.00681,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-aef4-72d1-99cf-7799a5e52467.json,True,31.0
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152641394600Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); EFL Cup; For Against; Hallelujah! I'm a Bum (album); Hammerjack's; Lawrence Austin; Local H; Stay (Shakespears Sister song),3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/evals/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5-20260608T152641394600Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7d7-d8f2-7331-a0d5-dd997ab38ecd,019ea7d7-d8f2-7331-a0d5-dd997ab38ecd,LangGraph,success,,2026-06-08T15:26:41.394800Z,2026-06-08T15:26:50.667959Z,9.273159,5027,107,5134,0.004625,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-terminal-only-qwen3.5-2b-gpt-5.5/traces/019ea7d7-d8f2-7331-a0d5-dd997ab38ecd.json,True,33.0
