run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3.2-qwen3.5-0.8b-20260506T124015825445Z-5a8b57f25542995d1e6f1371-r0,v3.2-qwen3.5-0.8b,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,"No, Scott Derrickson and Ed Wood were not of the same nationality.

*   **Ed Wood** was an American actor and director. He was born in New York City, USA.
*   **Scott Derrickson** was an American actor and director. He was born in New York City, USA.

Both were born in the United States.",Ed Wood; Scott Derrickson,,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124015825445Z-5a8b57f25542995d1e6f1371-r0.json,False,False,False,0.0,0.0,0.0,False,0.0,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,019dfd4d-9ed2-7272-ae2d-0d49a335b94d,LangGraph,success,,2026-05-06T12:40:15.826964Z,2026-05-06T12:40:18.402663Z,2.575699,335,74,409,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-9ed2-7272-ae2d-0d49a335b94d.json,False,9.0
v3.2-qwen3.5-0.8b-20260506T124018405447Z-5a8c7595554299585d9e36b6-r0,v3.2-qwen3.5-0.8b,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"The woman who portrayed Corliss Archer in the 1979 film *Kiss and Tell* was **Mia Farrow**. She played the role of the ""Corliss Archer"" in the film.

Mia Farrow was a British actress who went on to become a well-known British comedian and actress. She is best known for her role as the ""Maggie"" in the sitcom *The Office* (which was a major hit in the UK).

Regarding the specific government position she held, there is no widely documented record of her holding a government position. She was primarily known for her comedic work in television and film.",Kiss and Tell (1945 film); Shirley Temple,,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124018405447Z-5a8c7595554299585d9e36b6-r0.json,False,False,False,0.011904761904761904,0.3333333333333333,0.022988505747126436,False,0.0,019dfd4d-a8e5-7d42-a18f-854a9079cc04,019dfd4d-a8e5-7d42-a18f-854a9079cc04,LangGraph,success,,2026-05-06T12:40:18.405602Z,2026-05-06T12:40:20.540838Z,2.135236,344,134,478,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-a8e5-7d42-a18f-854a9079cc04.json,False,13.0
v3.2-qwen3.5-0.8b-20260506T124020542213Z-5a85ea095542994775f606a8-r0,v3.2-qwen3.5-0.8b,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,"The science fantasy young adult series you are referring to is **The Expanse**.

It is a first-person narrative series written by **J. K. Rowling**, which follows the protagonist, **Kael**, as he travels across the universe to find a cure for his father's terminal illness. The series is known for its unique blend of science fiction and fantasy, featuring a diverse cast of alien species and a complex political landscape.

The companion books you mentioned are the **Expanse: The Book of the Stars**, which narrates the stories of the **Expanse: The Book of the Stars** series. This book is a sequel to the first book in the series, *The Expanse: The Book of the Stars*, and it continues the journey of Kael and his companions as they explore the galaxy and uncover the secrets of the Expanse.",Animorphs; The Hork-Bajir Chronicles,,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124020542213Z-5a85ea095542994775f606a8-r0.json,False,False,False,0.0,0.0,0.0,False,0.0,019dfd4d-b13e-7081-85be-0f9813e19bcf,019dfd4d-b13e-7081-85be-0f9813e19bcf,LangGraph,success,,2026-05-06T12:40:20.542411Z,2026-05-06T12:40:23.229679Z,2.687268,352,173,525,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-b13e-7081-85be-0f9813e19bcf.json,False,5.0
v3.2-qwen3.5-0.8b-20260506T124023230252Z-5adbf0a255429947ff17385a-r0,v3.2-qwen3.5-0.8b,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,yes,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124023230252Z-5adbf0a255429947ff17385a-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfd4d-bbbe-7af2-82d5-f2a9da14cc11,019dfd4d-bbbe-7af2-82d5-f2a9da14cc11,LangGraph,success,,2026-05-06T12:40:23.230345Z,2026-05-06T12:40:25.817063Z,2.586718,1996,67,2063,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-bbbe-7af2-82d5-f2a9da14cc11.json,False,8.0
v3.2-qwen3.5-0.8b-20260506T124025818901Z-5a8e3ea95542995a26add48d-r0,v3.2-qwen3.5-0.8b,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",New York City,Adriana Trigiani; Big Stone Gap (film),Big Stone Gap (film); Bunny Grant; Crank Caverns; Kingston Morning,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124025818901Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.6,0.7499999999999999,True,0.5,019dfd4d-c5db-7642-8531-285a751cc111,019dfd4d-c5db-7642-8531-285a751cc111,LangGraph,success,,2026-05-06T12:40:25.819097Z,2026-05-06T12:40:27.519452Z,1.700355,1222,39,1261,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-c5db-7642-8531-285a751cc111.json,False,33.0
v3.2-qwen3.5-0.8b-20260506T124027521153Z-5abd94525542992ac4f382d2-r0,v3.2-qwen3.5-0.8b,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,"The debut album of the South Korean boy group **BTS** (BTS Entertainment) was released in 2014. The group was formed by **Lee Know** (Lee Sang-hyuk), **Lee Know** (Lee Sang-hyuk), and **Lee Know** (Lee Sang-hyuk).",2014 S/S; Winner (band),,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124027521153Z-5abd94525542992ac4f382d2-r0.json,False,False,False,0.03225806451612903,0.5,0.06060606060606061,False,0.0,019dfd4d-cc81-7941-a945-a2d10160088b,019dfd4d-cc81-7941-a945-a2d10160088b,LangGraph,success,,2026-05-06T12:40:27.521338Z,2026-05-06T12:40:28.714746Z,1.193408,345,67,412,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-cc81-7941-a945-a2d10160088b.json,False,52.0
v3.2-qwen3.5-0.8b-20260506T124028716185Z-5a85b2d95542997b5ce40028-r0,v3.2-qwen3.5-0.8b,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,"The person known by his stage name Aladin who helped organizations improve their performance as a consultant is **Alain Delaunay**.

He is a French consultant and author who is best known for his work in the field of **business process management (BPM)**. Delaunay is famous for his book *Business Process Reengineering* (1990), which is widely regarded as a seminal text in the field. He also co-authored the book *Business Process Outsourcing* with his wife, Jeanne Delaunay, which is a classic guide to outsourcing.

While he is primarily associated with business process management, he has also worked in other sectors, including:
*   **Healthcare**: He was a consultant for the **National Health Service (SNCF)** in France, where he helped improve the efficiency of the healthcare system.
*   **Education**: He worked with the **French Ministry of Education** to improve the quality of education.
*   **Other sectors**: He has also been involved in the development of the **European Union's E-Commerce Directive** and has worked in various other industries.",Eenasul Fateh; Management consulting,,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124028716185Z-5a85b2d95542997b5ce40028-r0.json,False,False,False,0.0,0.0,0.0,False,0.0,019dfd4d-d12c-7993-bbe7-d974676fcb63,019dfd4d-d12c-7993-bbe7-d974676fcb63,LangGraph,success,,2026-05-06T12:40:28.716392Z,2026-05-06T12:40:32.243363Z,3.526971,342,232,574,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-d12c-7993-bbe7-d974676fcb63.json,False,2.0
v3.2-qwen3.5-0.8b-20260506T124032244744Z-5a87ab905542996e4f3088c1-r0,v3.2-qwen3.5-0.8b,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","The arena where the Lewiston Maineiacs played their home games is the **Lewiston Arena**. It can seat **1,200** people.",Androscoggin Bank Colisée; Lewiston Maineiacs,,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124032244744Z-5a87ab905542996e4f3088c1-r0.json,False,False,False,0.0,0.0,0.0,False,0.0,019dfd4d-def4-7533-96c9-65f6e6a3f056,019dfd4d-def4-7533-96c9-65f6e6a3f056,LangGraph,success,,2026-05-06T12:40:32.244925Z,2026-05-06T12:40:32.991335Z,0.74641,342,34,376,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-def4-7533-96c9-65f6e6a3f056.json,False,70.0
v3.2-qwen3.5-0.8b-20260506T124032992479Z-5a7bbb64554299042af8f7cc-r0,v3.2-qwen3.5-0.8b,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Annie Morton,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Louise Bryant; Snoecks; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124032992479Z-5a7bbb64554299042af8f7cc-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfd4d-e1e0-7041-8eb5-d97725e23ae1,019dfd4d-e1e0-7041-8eb5-d97725e23ae1,LangGraph,success,,2026-05-06T12:40:32.992647Z,2026-05-06T12:40:35.728801Z,2.736154,1803,67,1870,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-e1e0-7041-8eb5-d97725e23ae1.json,False,4.0
v3.2-qwen3.5-0.8b-20260506T124035730352Z-5a8db19d5542994ba4e3dd00-r0,v3.2-qwen3.5-0.8b,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,"No, Local H and For Against are not both from the United States.

*   **Local H** is a political party in the United States.
*   **For Against** is a political party in the United States.

Both are American political parties.",For Against; Local H,,0,generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:0.8b"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/evals/v3.2-qwen3.5-0.8b-20260506T124035730352Z-5a8db19d5542994ba4e3dd00-r0.json,False,False,False,0.0,0.0,0.0,False,0.0,019dfd4d-ec92-7d71-820d-c4d656fd0a67,019dfd4d-ec92-7d71-820d-c4d656fd0a67,LangGraph,success,,2026-05-06T12:40:35.730601Z,2026-05-06T12:40:36.760418Z,1.029817,335,55,390,0.0,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3.2-qwen3.5-0.8b/traces/019dfd4d-ec92-7d71-820d-c4d656fd0a67.json,False,59.0
