"placement_id","code","query_model","decision_model","rewrite_model","answer_model","exact_match","answer_token_f1","cloud_api_cost","mean_latency_seconds","p95_latency_seconds","local_calls","cloud_calls","failed_runs","invocations"
"placement-001","GGGG","gpt-5.5-cloud","gpt-5.5-cloud","gpt-5.5-cloud","gpt-5.5-cloud",0.56,0.7321428571428571,1.696875,12.53944897503883,28.586537791998126,0,208,0,208
"placement-002","GGMG","gpt-5.5-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud",0.52,0.6359981293216588,1.5521866,10.535945634222008,20.11615787501796,0,201,0,201
"placement-003","GGQG","gpt-5.5-cloud","gpt-5.5-cloud","qwen-local","gpt-5.5-cloud",0.56,0.6912654012654013,1.546575,13.254065845001605,26.27610320900567,9,196,0,205
"placement-004","MGGG","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-5.5-cloud","gpt-5.5-cloud",0.68,0.7941428571428572,1.2361313999999999,12.6764261574822,22.88865262499894,0,211,0,211
"placement-005","MGMG","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud",0.66,0.7718095238095237,1.1198198,8.245149211639655,25.096225875022355,0,212,0,212
"placement-006","MGQG","gpt-4.1-mini-cloud","gpt-5.5-cloud","qwen-local","gpt-5.5-cloud",0.62,0.7565714285714286,1.053944,9.414170779181296,25.69966037501581,1,204,0,205
"placement-007","QGGG","qwen-local","gpt-5.5-cloud","gpt-5.5-cloud","gpt-5.5-cloud",0.64,0.7934761904761904,1.101555,19.358465028337086,36.45374583400553,88,129,0,217
"placement-008","QGMG","qwen-local","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud",0.66,0.788082251082251,1.1192028,10.649320937538869,21.894721999997273,89,129,0,218
"placement-009","QGQG","qwen-local","gpt-5.5-cloud","qwen-local","gpt-5.5-cloud",0.7,0.8081428571428572,1.15233,17.06499131003977,35.73728095900151,88,125,0,213
"placement-010","GGGM","gpt-5.5-cloud","gpt-5.5-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud",0.5,0.6288681318681318,1.2237698,9.782919245802331,21.37115779099986,0,198,0,198
"placement-011","GGMM","gpt-5.5-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud",0.5,0.6341740481740481,1.2974958,9.796975322557847,22.238309582986403,0,203,0,203
"placement-012","GGQM","gpt-5.5-cloud","gpt-5.5-cloud","qwen-local","gpt-4.1-mini-cloud",0.42,0.5893844225949489,1.2568706,10.332894913280034,25.20096320801531,7,193,0,200
"placement-013","MGGM","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud",0.56,0.6991428571428571,0.7356476,7.229396375921787,16.07180483400589,0,223,0,223
"placement-014","MGMM","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud",0.58,0.7044047619047619,0.6749964,5.909508226679172,11.952415083011147,0,219,0,219
"placement-015","MGQM","gpt-4.1-mini-cloud","gpt-5.5-cloud","qwen-local","gpt-4.1-mini-cloud",0.62,0.7393333333333334,0.6916846,7.257652746682288,19.89589725001133,2,206,0,208
"placement-016","QGGM","qwen-local","gpt-5.5-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud",0.56,0.6926666666666667,0.637321,13.534798919200547,25.92317575000925,88,128,0,216
"placement-017","QGMM","qwen-local","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud",0.58,0.7112380952380952,0.6424456,14.395155488304445,28.964559584012022,89,131,0,220
"placement-018","QGQM","qwen-local","gpt-5.5-cloud","qwen-local","gpt-4.1-mini-cloud",0.6,0.7085714285714286,0.6374324,13.39962467754376,26.214783207979053,88,125,0,213
"placement-019","GGGQ","gpt-5.5-cloud","gpt-5.5-cloud","gpt-5.5-cloud","qwen-local",0.26,0.42217016317016315,1.369395,11.397314631775952,23.82848391600419,36,167,0,203
"placement-020","GGMQ","gpt-5.5-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud","qwen-local",0.32,0.43952813852813855,1.1143922,9.962036037506769,22.877157417009585,37,163,0,200
"placement-021","GGQQ","gpt-5.5-cloud","gpt-5.5-cloud","qwen-local","qwen-local",0.3,0.41833162743689056,1.23626,10.013918122581671,22.25893204199383,44,155,0,199
"placement-022","MGGQ","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-5.5-cloud","qwen-local",0.34,0.4791511387163561,0.6462888,7.352821215020958,15.941157791996375,50,164,0,214
"placement-023","MGMQ","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud","qwen-local",0.34,0.49457142857142855,0.6497138,7.461327036677394,16.306481041014194,48,164,0,212
"placement-024","MGQQ","gpt-4.1-mini-cloud","gpt-5.5-cloud","qwen-local","qwen-local",0.36,0.5064844720496895,0.6161618,7.555369079078082,17.751686500036158,50,160,0,210
"placement-025","QGGQ","qwen-local","gpt-5.5-cloud","gpt-5.5-cloud","qwen-local",0.36,0.5353714285714285,0.638085,9.334538939100458,19.666012125031557,141,80,0,221
"placement-026","QGMQ","qwen-local","gpt-5.5-cloud","gpt-4.1-mini-cloud","qwen-local",0.36,0.5366412698412699,0.5977778,8.961050824975828,19.64756758301519,139,80,0,219
"placement-027","QGQQ","qwen-local","gpt-5.5-cloud","qwen-local","qwen-local",0.36,0.5353714285714285,0.57496,9.1197647392191,19.13816658296855,137,76,0,213
"placement-028","GMGG","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-5.5-cloud",0.52,0.6568744588744589,0.8462984,8.184594478440705,17.306465125002433,0,180,0,180
"placement-029","GMMG","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud",0.56,0.6864568764568765,0.9161232,8.793139930001926,21.298734542011516,0,178,0,178
"placement-030","GMQG","gpt-5.5-cloud","gpt-4.1-mini-cloud","qwen-local","gpt-5.5-cloud",0.48,0.6056666666666666,0.8731912000000001,7.65347343833535,22.87511754099978,1,174,0,175
"placement-031","MMGG","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-5.5-cloud",0.62,0.7758095238095238,0.547035,6.151781492645386,15.500291291042231,0,203,0,203
"placement-032","MMMG","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud",0.64,0.7774761904761905,0.5568298,6.741923819080694,16.909605708002346,0,201,0,201
"placement-033","MMQG","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","qwen-local","gpt-5.5-cloud",0.64,0.7808095238095238,0.6762418,8.738434210819541,17.819907833007164,0,202,0,202
"placement-034","QMGG","qwen-local","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-5.5-cloud",0.64,0.8064761904761905,0.4969102,7.7505475990369455,20.743733624985907,80,120,0,200
"placement-035","QMMG","qwen-local","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud",0.64,0.7941428571428572,0.5352876,7.636817845798796,18.771895292011322,83,123,0,206
"placement-036","QMQG","qwen-local","gpt-4.1-mini-cloud","qwen-local","gpt-5.5-cloud",0.6,0.7691904761904762,0.524461,8.619912858277676,20.851008792000357,81,121,0,202
"placement-037","GMGM","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud",0.42,0.5744444444444444,0.5626096,5.858946601639036,13.305474083987065,0,183,0,183
"placement-038","GMMM","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud",0.42,0.5646245421245422,0.6991748,6.210712987523293,15.452074792003259,0,184,0,184
"placement-039","GMQM","gpt-5.5-cloud","gpt-4.1-mini-cloud","qwen-local","gpt-4.1-mini-cloud",0.4,0.5660952380952381,0.6560642,6.910564279182581,14.160093249985948,0,186,0,186
"placement-040","MMGM","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud",0.5,0.6624761904761906,0.0854,3.4258757441968193,5.316684833960608,0,196,0,196
"placement-041","MMMM","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud",0.52,0.6672380952380952,0.078404,3.4169750575197395,8.033614000014495,0,190,0,190
"placement-042","MMQM","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","qwen-local","gpt-4.1-mini-cloud",0.56,0.6931428571428572,0.0844044,3.496635418361984,7.603423000022303,0,194,0,194
"placement-043","QMGM","qwen-local","gpt-4.1-mini-cloud","gpt-5.5-cloud","gpt-4.1-mini-cloud",0.54,0.6765714285714286,0.053350800000000004,4.919110069988529,10.963463083957322,79,120,0,199
"placement-044","QMMM","qwen-local","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud",0.54,0.6665714285714286,0.0549716,4.99335398916388,11.504776375018992,82,122,0,204
"placement-045","QMQM","qwen-local","gpt-4.1-mini-cloud","qwen-local","gpt-4.1-mini-cloud",0.56,0.6832380952380953,0.055155600000000006,5.266766309102532,12.760408625006676,82,122,0,204
"placement-046","GMGQ","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud","qwen-local",0.28,0.4420246354952237,0.510599,5.9361373208346775,10.505338791990653,41,138,0,179
"placement-047","GMMQ","gpt-5.5-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","qwen-local",0.38,0.5193333333333333,0.6947788,6.670195669921814,15.085362582991365,42,148,0,190
"placement-048","GMQQ","gpt-5.5-cloud","gpt-4.1-mini-cloud","qwen-local","qwen-local",0.26,0.41528083028083024,0.5956204,6.180176634982927,17.242495040991344,39,139,0,178
"placement-049","MMGQ","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-5.5-cloud","qwen-local",0.32,0.49512698412698414,0.0612716,4.367889914981788,10.072042874991894,50,146,0,196
"placement-050","MMMQ","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","qwen-local",0.28,0.4496609426379247,0.06298920000000001,4.200144565763185,7.614252166997176,49,146,0,195
"placement-051","MMQQ","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","qwen-local","qwen-local",0.32,0.4787225672877847,0.0628284,4.317737672518706,8.829890499997418,50,148,0,198
"placement-052","QMGQ","qwen-local","gpt-4.1-mini-cloud","gpt-5.5-cloud","qwen-local",0.34,0.5073714285714286,0.030836400000000003,6.043663359942148,12.843983875005506,131,71,0,202
"placement-053","QMMQ","qwen-local","gpt-4.1-mini-cloud","gpt-4.1-mini-cloud","qwen-local",0.34,0.5073714285714286,0.030842400000000002,5.694992125820136,12.417197917005979,130,71,0,201
"placement-054","QMQQ","qwen-local","gpt-4.1-mini-cloud","qwen-local","qwen-local",0.34,0.5073714285714286,0.0314832,6.213874839070486,14.49150170799112,132,72,0,204
