run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180853668528Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,019ea86c-59a6-76d2-9e9e-98fb3e9aa232,LangGraph,success,,2026-06-08T18:08:53.670554Z,2026-06-08T18:09:04.148495Z,10.477941,5491,102,5593,0.0004492,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-59a6-76d2-9e9e-98fb3e9aa232.json,True,5.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180904154658Z-5a8c7595554299585d9e36b6-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,United States ambassador,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Indriati Iskak; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Molly Childers; Nelson Rockefeller; Shirley Temple,3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180904154658Z-5a8c7595554299585d9e36b6-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019ea86c-829b-7451-9687-65f0e0626b5b,019ea86c-829b-7451-9687-65f0e0626b5b,LangGraph,success,,2026-06-08T18:09:04.155098Z,2026-06-08T18:09:13.469538Z,9.31444,6378,121,6499,0.0004008,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-829b-7451-9687-65f0e0626b5b.json,False,12.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180913471227Z-5a85ea095542994775f606a8-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180913471227Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea86c-a6ff-7050-8512-306ab39649d2,019ea86c-a6ff-7050-8512-306ab39649d2,LangGraph,success,,2026-06-08T18:09:13.471518Z,2026-06-08T18:09:19.678111Z,6.206593,3861,89,3950,0.0003336,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-a6ff-7050-8512-306ab39649d2.json,True,36.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180919679829Z-5adbf0a255429947ff17385a-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180919679829Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea86c-bf40-7610-a7f5-78e040890685,019ea86c-bf40-7610-a7f5-78e040890685,LangGraph,success,,2026-06-08T18:09:19.680287Z,2026-06-08T18:09:27.253839Z,7.573552,5161,110,5271,0.0004124,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-bf40-7610-a7f5-78e040890685.json,True,25.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180927255247Z-5a8e3ea95542995a26add48d-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Doc NYC; End of the Road (1970 film); I Love NY (2015 film); Nola (film); Pamela B. Green,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180927255247Z-5a8e3ea95542995a26add48d-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea86c-dcd7-7a93-ab1d-812ec5f31d21,019ea86c-dcd7-7a93-ab1d-812ec5f31d21,LangGraph,success,,2026-06-08T18:09:27.255459Z,2026-06-08T18:09:33.204991Z,5.949532,3274,87,3361,0.0002872,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-dcd7-7a93-ab1d-812ec5f31d21.json,True,41.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180933207321Z-5abd94525542992ac4f382d2-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180933207321Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea86c-f417-7cf3-8cf4-532dc8fe63f7,019ea86c-f417-7cf3-8cf4-532dc8fe63f7,LangGraph,success,,2026-06-08T18:09:33.207433Z,2026-06-08T18:09:35.837034Z,2.629601,1329,46,1375,0.0001812,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-f417-7cf3-8cf4-532dc8fe63f7.json,True,70.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180935837748Z-5a85b2d95542997b5ce40028-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180935837748Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea86c-fe5d-77c0-a733-47b26261685a,019ea86c-fe5d-77c0-a733-47b26261685a,LangGraph,success,,2026-06-08T18:09:35.837832Z,2026-06-08T18:09:38.510143Z,2.672311,1357,44,1401,0.0001992,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86c-fe5d-77c0-a733-47b26261685a.json,True,67.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180938510801Z-5a87ab905542996e4f3088c1-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","4,000 capacity (3,677 seated)",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180938510801Z-5a87ab905542996e4f3088c1-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea86d-08ce-76d0-8df5-e6ae3d243628,019ea86d-08ce-76d0-8df5-e6ae3d243628,LangGraph,success,,2026-06-08T18:09:38.510870Z,2026-06-08T18:09:41.513002Z,3.002132,1472,51,1523,0.0002216,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86d-08ce-76d0-8df5-e6ae3d243628.json,False,57.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180941514335Z-5a7bbb64554299042af8f7cc-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Indriati Iskak; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180941514335Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea86d-148a-7921-bc87-73becc3c6557,019ea86d-148a-7921-bc87-73becc3c6557,LangGraph,success,,2026-06-08T18:09:41.514516Z,2026-06-08T18:09:49.668270Z,8.153754,5248,136,5384,0.000478,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86d-148a-7921-bc87-73becc3c6557.json,True,22.0
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180949669739Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); EFL Cup; For Against; Hallelujah! I'm a Bum (album); Hammerjack's; Lawrence Austin; Local H; Stay (Shakespears Sister song),3,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""fast cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""fast_terminal_only"", ""placement_reason"": ""support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/evals/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini-20260608T180949669739Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea86d-3465-7341-883f-299aa9478a82,019ea86d-3465-7341-883f-299aa9478a82,LangGraph,success,,2026-06-08T18:09:49.669894Z,2026-06-08T18:09:57.370763Z,7.700869,5028,104,5132,0.0003624,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini/traces/019ea86d-3465-7341-883f-299aa9478a82.json,True,24.0
