run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183345551062Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-1d4f-7373-b279-44358c961f11,019ea883-1d4f-7373-b279-44358c961f11,LangGraph,success,,2026-06-08T18:33:45.551199Z,2026-06-08T18:33:50.865363Z,5.314164,1987,89,2076,0.0050162,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-1d4f-7373-b279-44358c961f11.json,True,43.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183350866858Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea883-3212-79b3-928d-dc99be31ad8a,019ea883-3212-79b3-928d-dc99be31ad8a,LangGraph,success,,2026-06-08T18:33:50.867018Z,2026-06-08T18:34:05.559295Z,14.692277,3790,361,4151,0.0128402,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-3212-79b3-928d-dc99be31ad8a.json,False,7.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183405560143Z-5a85ea095542994775f606a8-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183405560143Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-6b78-7360-b593-f55d79adf1f2,019ea883-6b78-7360-b593-f55d79adf1f2,LangGraph,success,,2026-06-08T18:34:05.560242Z,2026-06-08T18:34:08.448028Z,2.887786,1418,48,1466,0.002804,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-6b78-7360-b593-f55d79adf1f2.json,True,74.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183408449341Z-5adbf0a255429947ff17385a-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,no,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183408449341Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-76c1-7263-94cf-95c555cd5d5b,019ea883-76c1-7263-94cf-95c555cd5d5b,LangGraph,success,,2026-06-08T18:34:08.449500Z,2026-06-08T18:34:14.591533Z,6.142033,1896,109,2005,0.005207,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-76c1-7263-94cf-95c555cd5d5b.json,True,37.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183414593225Z-5a8e3ea95542995a26add48d-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City","Greenwich Village, New York City",Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Doc NYC; End of the Road (1970 film); I Love NY (2015 film); Nola (film); Pamela B. Green,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183414593225Z-5a8e3ea95542995a26add48d-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-8ec1-71b1-b5a7-070f75d338b7,019ea883-8ec1-71b1-b5a7-070f75d338b7,LangGraph,success,,2026-06-08T18:34:14.593425Z,2026-06-08T18:34:22.348436Z,7.755011,3315,186,3501,0.0072742,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-8ec1-71b1-b5a7-070f75d338b7.json,True,24.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183422350056Z-5abd94525542992ac4f382d2-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183422350056Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea883-ad0e-78b0-94c3-541e9e1c1e3e,019ea883-ad0e-78b0-94c3-541e9e1c1e3e,LangGraph,success,,2026-06-08T18:34:22.350238Z,2026-06-08T18:34:27.777217Z,5.426979,1347,120,1467,0.0047912,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-ad0e-78b0-94c3-541e9e1c1e3e.json,True,42.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183427778870Z-5a85b2d95542997b5ce40028-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183427778870Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea883-c243-7962-8cd7-c04f86d4c0fa,019ea883-c243-7962-8cd7-c04f86d4c0fa,LangGraph,success,,2026-06-08T18:34:27.779044Z,2026-06-08T18:34:31.153899Z,3.374855,1410,46,1456,0.002871,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-c243-7962-8cd7-c04f86d4c0fa.json,True,69.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183431155487Z-5a87ab905542996e4f3088c1-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677 seated",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183431155487Z-5a87ab905542996e4f3088c1-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-cf73-7931-9c20-16ab943bb751,019ea883-cf73-7931-9c20-16ab943bb751,LangGraph,success,,2026-06-08T18:34:31.155651Z,2026-06-08T18:34:34.844239Z,3.688588,1482,46,1528,0.0030338,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-cf73-7931-9c20-16ab943bb751.json,True,61.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183434845894Z-5a7bbb64554299042af8f7cc-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183434845894Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-ddde-7573-8dcc-aa41c9f934c4,019ea883-ddde-7573-8dcc-aa41c9f934c4,LangGraph,success,,2026-06-08T18:34:34.846068Z,2026-06-08T18:34:39.340445Z,4.494377,1741,104,1845,0.0047174,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-ddde-7573-8dcc-aa41c9f934c4.json,True,55.0
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183439341910Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,EFL Cup; For Against; Lawrence Austin; Local H,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""fast cloud for internal workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""internal_control_strong_terminal"", ""placement_reason"": ""boundary or support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T183439341910Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea883-ef6e-7820-bf26-55373bcff7b9,019ea883-ef6e-7820-bf26-55373bcff7b9,LangGraph,success,,2026-06-08T18:34:39.342064Z,2026-06-08T18:34:42.091817Z,2.749753,1031,38,1069,0.001745,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea883-ef6e-7820-bf26-55373bcff7b9.json,True,75.0
