run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155904672353Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7f5-7fe0-7f83-afcf-4adc947b944e,019ea7f5-7fe0-7f83-afcf-4adc947b944e,LangGraph,success,,2026-06-08T15:59:04.672444Z,2026-06-08T15:59:11.460797Z,6.788353,1839,133,1972,0.013185,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f5-7fe0-7f83-afcf-4adc947b944e.json,True,47.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,"Shirley Temple government position held ambassador diplomat public office 
",Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Kiss and Tell (1945 film); Meet Corliss Archer (TV series),1,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155911462069Z-5a8c7595554299585d9e36b6-r0.json,False,False,False,0.0,0.0,0.0,True,0.5,019ea7f5-9a66-7502-8afb-ffafab9f5f52,019ea7f5-9a66-7502-8afb-ffafab9f5f52,LangGraph,success,,2026-06-08T15:59:11.462187Z,2026-06-08T15:59:20.399551Z,8.937364,1804,198,2002,0.01496,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f5-9a66-7502-8afb-ffafab9f5f52.json,False,33.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155920401102Z-5a85ea095542994775f606a8-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155920401102Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7f5-bd51-7f41-be8d-099ee35ca86a,019ea7f5-bd51-7f41-be8d-099ee35ca86a,LangGraph,success,,2026-06-08T15:59:20.401293Z,2026-06-08T15:59:25.970888Z,5.569595,1271,114,1385,0.009775,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f5-bd51-7f41-be8d-099ee35ca86a.json,True,59.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155925972328Z-5adbf0a255429947ff17385a-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155925972328Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7f5-d314-7a10-9f4a-e56336a5d6a1,019ea7f5-d314-7a10-9f4a-e56336a5d6a1,LangGraph,success,,2026-06-08T15:59:25.972498Z,2026-06-08T15:59:33.238281Z,7.265783,1183,90,1273,0.008615,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f5-d314-7a10-9f4a-e56336a5d6a1.json,True,42.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155933239523Z-5a8e3ea95542995a26add48d-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Adriana Trigiani based in what New York city?,Adriana Trigiani; Big Stone Gap (film),Big Stone Gap (film); Doc NYC; New Haven Documentary Film Festival; Nola (film),1,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155933239523Z-5a8e3ea95542995a26add48d-r0.json,False,False,False,0.375,0.6,0.4615384615384615,True,0.5,019ea7f5-ef77-7791-80a9-fb0d2455c5ea,019ea7f5-ef77-7791-80a9-fb0d2455c5ea,LangGraph,success,,2026-06-08T15:59:33.239668Z,2026-06-08T15:59:44.238692Z,10.999024,1661,354,2015,0.018925,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f5-ef77-7791-80a9-fb0d2455c5ea.json,False,21.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155944240007Z-5abd94525542992ac4f382d2-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,WINNER South Korean boy group formed by who,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155944240007Z-5abd94525542992ac4f382d2-r0.json,False,False,False,0.0,0.0,0.0,True,0.5,019ea7f6-1a70-7c63-978b-12df97d38109,019ea7f6-1a70-7c63-978b-12df97d38109,LangGraph,success,,2026-06-08T15:59:44.240151Z,2026-06-08T15:59:51.173982Z,6.933831,1721,200,1921,0.014605,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f6-1a70-7c63-978b-12df97d38109.json,False,46.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155951175410Z-5a85b2d95542997b5ce40028-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Eenasul Fateh; Jim Cummings; Management consulting; Mick (DJ),1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155951175410Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7f6-3587-7651-84ff-928d3c4f0e2c,019ea7f6-3587-7651-84ff-928d3c4f0e2c,LangGraph,success,,2026-06-08T15:59:51.175619Z,2026-06-08T15:59:57.241708Z,6.066089,1146,63,1209,0.00762,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f6-3587-7651-84ff-928d3c4f0e2c.json,True,53.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155957242356Z-5a87ab905542996e4f3088c1-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T155957242356Z-5a87ab905542996e4f3088c1-r0.json,False,False,True,1.0,0.5,0.6666666666666666,True,1.0,019ea7f6-4d3a-7822-b13a-eca6472ad399,019ea7f6-4d3a-7822-b13a-eca6472ad399,LangGraph,success,,2026-06-08T15:59:57.242447Z,2026-06-08T16:00:03.144031Z,5.901584,1334,124,1458,0.01039,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f6-4d3a-7822-b13a-eca6472ad399.json,False,56.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T160003146105Z-5a7bbb64554299042af8f7cc-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Lady Gaga x Terry Richardson; Molly Childers; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T160003146105Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7f6-644a-77f0-99a3-f892de26ae38,019ea7f6-644a-77f0-99a3-f892de26ae38,LangGraph,success,,2026-06-08T16:00:03.146345Z,2026-06-08T16:00:07.749698Z,4.603353,1119,58,1177,0.007335,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f6-644a-77f0-99a3-f892de26ae38.json,True,73.0
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T160007751168Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,Yes,For Against; Local H,Against the Wind (album); For Against; Kansas Song; Local H; Ophur; Stay (Shakespears Sister song),1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""user-facing or terminal synthesis node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-5.5"", ""placement"": ""cloud"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""branching node controls downstream execution"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""branching_terminal"", ""placement_reason"": ""non-branching support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/evals/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5-20260608T160007751168Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea7f6-7647-7bc0-9b2d-5a2bfd6deb40,019ea7f6-7647-7bc0-9b2d-5a2bfd6deb40,LangGraph,success,,2026-06-08T16:00:07.751356Z,2026-06-08T16:00:12.889186Z,5.13783,1479,93,1572,0.010185,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5/traces/019ea7f6-7647-7bc0-9b2d-5a2bfd6deb40.json,True,65.0
