run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0,v3-opus-4-7,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Scott Derrickson; Tyler Bates; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150458935359Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9,LangGraph,success,,2026-05-06T15:04:58.936888Z,2026-05-06T15:05:05.001199Z,6.064311,4543,187,4730,0.02739,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-1d38-7cd2-b2b1-4b33bfa4e0e9.json,True,44.0
v3-opus-4-7-20260506T150505005671Z-5a8c7595554299585d9e36b6-r0,v3-opus-4-7,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Robert Hormats; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150505005671Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019dfdd2-34ed-7ca1-8e7a-af82a8ce8625,019dfdd2-34ed-7ca1-8e7a-af82a8ce8625,LangGraph,success,,2026-05-06T15:05:05.005998Z,2026-05-06T15:05:14.523183Z,9.517185,8593,286,8879,0.050115,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-34ed-7ca1-8e7a-af82a8ce8625.json,False,18.0
v3-opus-4-7-20260506T150514525871Z-5a85ea095542994775f606a8-r0,v3-opus-4-7,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150514525871Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdd2-5a1e-73e3-9f2f-e1919f8718a1,019dfdd2-5a1e-73e3-9f2f-e1919f8718a1,LangGraph,success,,2026-05-06T15:05:14.526178Z,2026-05-06T15:05:20.193142Z,5.666964,3403,163,3566,0.02109,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-5a1e-73e3-9f2f-e1919f8718a1.json,True,56.0
v3-opus-4-7-20260506T150520195331Z-5adbf0a255429947ff17385a-r0,v3-opus-4-7,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150520195331Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdd2-7043-7403-a735-5e6af9cb9f7e,019dfdd2-7043-7403-a735-5e6af9cb9f7e,LangGraph,success,,2026-05-06T15:05:20.195594Z,2026-05-06T15:05:26.299033Z,6.103439,4406,217,4623,0.027455,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-7043-7403-a735-5e6af9cb9f7e.json,True,43.0
v3-opus-4-7-20260506T150526301230Z-5a8e3ea95542995a26add48d-r0,v3-opus-4-7,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Greenwich Village,Adriana Trigiani; Big Stone Gap (film),About a Boy (film); Adriana Trigiani; Big Stone Gap (film); Bunny Grant; Gianni Schicchi; Index Magazine; New Haven Documentary Film Festival; Victoria Hanley,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150526301230Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.4,0.5714285714285715,True,1.0,019dfdd2-881d-7483-b930-7ae7bf62539c,019dfdd2-881d-7483-b930-7ae7bf62539c,LangGraph,success,,2026-05-06T15:05:26.301487Z,2026-05-06T15:05:35.523153Z,9.221666,7262,261,7523,0.042835,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-881d-7483-b930-7ae7bf62539c.json,False,20.0
v3-opus-4-7-20260506T150535524525Z-5abd94525542992ac4f382d2-r0,v3-opus-4-7,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150535524525Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfdd2-ac24-7dd3-82e7-b696b6df731f,019dfdd2-ac24-7dd3-82e7-b696b6df731f,LangGraph,success,,2026-05-06T15:05:35.524701Z,2026-05-06T15:05:41.556567Z,6.031866,3247,135,3382,0.01961,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-ac24-7dd3-82e7-b696b6df731f.json,True,46.0
v3-opus-4-7-20260506T150541558818Z-5a85b2d95542997b5ce40028-r0,v3-opus-4-7,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Criss Angel; Eenasul Fateh; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150541558818Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019dfdd2-c3b7-7803-8b3d-3f53d863f517,019dfdd2-c3b7-7803-8b3d-3f53d863f517,LangGraph,success,,2026-05-06T15:05:41.559099Z,2026-05-06T15:05:47.103465Z,5.544366,3401,144,3545,0.020605,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-c3b7-7803-8b3d-3f53d863f517.json,True,59.0
v3-opus-4-7-20260506T150547105708Z-5a87ab905542996e4f3088c1-r0,v3-opus-4-7,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","4,000",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150547105708Z-5a87ab905542996e4f3088c1-r0.json,False,False,False,0.0,0.0,0.0,True,1.0,019dfdd2-d961-7f93-aa60-945d3d77fda7,019dfdd2-d961-7f93-aa60-945d3d77fda7,LangGraph,success,,2026-05-06T15:05:47.105998Z,2026-05-06T15:05:52.335887Z,5.229889,3556,135,3691,0.021155,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-d961-7f93-aa60-945d3d77fda7.json,False,67.0
v3-opus-4-7-20260506T150552338375Z-5a7bbb64554299042af8f7cc-r0,v3-opus-4-7,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150552338375Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdd2-edd2-72f0-801b-38f057a5478b,019dfdd2-edd2-72f0-801b-38f057a5478b,LangGraph,success,,2026-05-06T15:05:52.338663Z,2026-05-06T15:05:58.042421Z,5.703758,4161,202,4363,0.025855,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd2-edd2-72f0-801b-38f057a5478b.json,True,52.0
v3-opus-4-7-20260506T150558044713Z-5a8db19d5542994ba4e3dd00-r0,v3-opus-4-7,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,yes,For Against; Local H,Against the Wind (album); Badly Drawn Boy discography; For Against; Gary Lee Conner; History (band); Local H; Ophur; Viol,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_answer"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""generate_query_or_respond"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}, ""rewrite_question"": {""model"": ""claude-opus-4-7"", ""provider"": ""anthropic""}}","{""decide_after_retrieval"": {}, ""generate_answer"": {}, ""generate_query_or_respond"": {}, ""rewrite_question"": {}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/evals/v3-opus-4-7-20260506T150558044713Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019dfdd3-041c-7023-a7e1-75e1806f291e,019dfdd3-041c-7023-a7e1-75e1806f291e,LangGraph,success,,2026-05-06T15:05:58.044973Z,2026-05-06T15:06:04.479406Z,6.434433,4316,173,4489,0.025905,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-opus-4-7/traces/019dfdd3-041c-7023-a7e1-75e1806f291e.json,True,37.0
