config_id,type,label,description,eval_count,trace_count,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_f1,supporting_title_recall,mean_latency_s,p95_latency_s,total_cost,observed_models,warnings,cost_vs_cloud,cost_savings_vs_cloud,exact_match_vs_cloud,exact_matches,cost_per_exact_match
v3-gpt-5.5,baseline,Cloud only,All LLM nodes use GPT-5.5.,75,75,0.5466666666666666,0.6533333333333333,0.72,0.7005785695785696,0.8066666666666666,8.66776052,16.78745719999999,1.1817600000000001,openai/gpt-5.5: 247,0,1.0,0.0,1.0,41.0,0.028823414634146345
v3-qwen3.5-2b,baseline,Local only,All LLM nodes use qwen3.5:2b locally.,75,75,0.41333333333333333,0.4666666666666667,0.5733333333333334,0.546863287250384,0.8133333333333334,5.723321106666667,9.7962718,0.0,ollama/qwen3.5:2b: 336,0,0.0,1.0,0.7560975609756098,31.0,0.0
v3-gpt-4.1-mini,baseline,Cloud only mini,All LLM nodes use GPT-4.1-mini.,75,75,0.5733333333333334,0.68,0.7466666666666667,0.7059936507936508,0.8266666666666667,3.5615265733333334,6.9536929999999995,0.0653624,openai/gpt-4.1-mini: 270,0,0.05530936907663146,0.9446906309233686,1.048780487804878,43.0,0.0015200558139534884
v3-policy-terminal-only-qwen3.5-2b-gpt-5.5,policy,Terminal only,Use GPT-5.5 only for user-facing terminal synthesis; run all support LLM nodes locally.,75,75,0.6533333333333333,0.72,0.8133333333333334,0.789847414234511,0.8133333333333334,10.055490573333334,21.30886859999999,0.52551,ollama/qwen3.5:2b: 262; openai/gpt-5.5: 74,0,0.44468419983753044,0.5553158001624696,1.1951219512195121,49.0,0.010724693877551022
v3-policy-decision-terminal-qwen3.5-2b-gpt-5.5,policy,Decision + terminal,Use GPT-5.5 for retrieval decision-making and final synthesis; run query generation and rewriting locally.,75,75,0.6533333333333333,0.7466666666666667,0.84,0.8176825396825397,0.8266666666666667,9.911538573333333,25.048824099999994,1.02619,ollama/qwen3.5:2b: 115; openai/gpt-5.5: 181,0,0.8683573652856754,0.13164263471432458,1.1951219512195121,49.0,0.02094265306122449
v3-policy-branching-terminal-qwen3.5-2b-gpt-5.5,policy,Branching + terminal,Use GPT-5.5 for LLM nodes that control branching plus final synthesis; run non-branching rewrite support locally.,75,75,0.52,0.5866666666666667,0.6666666666666666,0.6668313908313909,0.8,9.961122266666667,21.790648599999994,1.20054,openai/gpt-5.5: 244,0,1.0158915515840778,-0.015891551584077845,0.951219512195122,39.0,0.03078307692307692
v3-policy-boundary-io-qwen3.5-2b-gpt-4.1-mini,policy,Boundary I/O,Use GPT-4.1-mini for workflow boundary LLM nodes connected to START or END; run internal support nodes locally.,75,75,0.5466666666666666,0.7066666666666667,0.7733333333333333,0.6706822850352262,0.8866666666666667,5.965470186666667,8.378476599999999,0.06112560000000001,ollama/qwen3.5:2b: 119; openai/gpt-4.1-mini: 204,0,0.05172420796100731,0.9482757920389927,1.0,41.0,0.001490868292682927
v3-policy-recovery-terminal-qwen3.5-2b-gpt-5.5,policy,Recovery + terminal,Use GPT-5.5 for recovery/rewrite paths and terminal synthesis; run normal query generation and decision support locally.,75,75,0.6266666666666667,0.6933333333333334,0.8266666666666667,0.7975878437396464,0.8133333333333334,9.32194468,18.1130547,0.50379,ollama/qwen3.5:2b: 262; openai/gpt-5.5: 74,0,0.42630483346872455,0.5736951665312755,1.1463414634146343,47.0,0.010718936170212766
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,policy,Tiered control + terminal,"Use GPT-4.1-mini for branching/control nodes, GPT-5.5 for terminal synthesis, and local model for non-control support.",75,75,0.64,0.72,0.8533333333333334,0.8084563492063492,0.8266666666666667,7.1954830266666665,17.1633492,0.5392186,ollama/qwen3.5:2b: 1; openai/gpt-4.1-mini: 202; openai/gpt-5.5: 74,0,0.45628435553750335,0.5437156444624967,1.1707317073170733,48.0,0.011233720833333334
v3-policy-fast-terminal-only-qwen3.5-2b-gpt-4.1-mini,policy,Fast terminal only,Use GPT-4.1-mini only for user-facing terminal synthesis; run all support LLM nodes locally.,75,75,0.5466666666666666,0.64,0.72,0.6945458269329237,0.8133333333333334,6.092932133333333,10.559293799999999,0.024190399999999997,ollama/qwen3.5:2b: 262; openai/gpt-4.1-mini: 74,0,0.020469807744381258,0.9795301922556188,1.0,41.0,0.0005900097560975609
v3-policy-entry-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,policy,Entry + strong terminal,"Use GPT-4.1-mini for workflow entry nodes, GPT-5.5 for terminal synthesis, and local model for internal support.",75,75,0.6266666666666667,0.7466666666666667,0.8533333333333334,0.7533186707269311,0.9,6.927443906666666,13.1070239,0.46494119999999994,ollama/qwen3.5:2b: 122; openai/gpt-4.1-mini: 140; openai/gpt-5.5: 68,0,0.39343115353371233,0.6065688464662877,1.1463414634146343,47.0,0.009892365957446808
v3-policy-internal-control-strong-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,policy,Internal control + terminal,"Use GPT-4.1-mini for internal workflow control nodes, GPT-5.5 for terminal synthesis, and local model for boundary/support nodes.",75,75,0.6,0.6933333333333334,0.7866666666666666,0.7396568415105,0.7933333333333333,7.600925253333333,16.3799954,0.501685,ollama/qwen3.5:2b: 114; openai/gpt-4.1-mini: 100; openai/gpt-5.5: 72,0,0.4245235919306797,0.5754764080693203,1.0975609756097562,45.0,0.011148555555555557
