run_id,config_id,example_id,repeat,question,gold_answer,agent_answer,supporting_titles,retrieved_titles,retrieval_rounds,nodes,model_config,model_kwargs,eval_file,exact_match,contains_gold_answer,contains_partial_gold_answer,answer_token_precision,answer_token_recall,answer_token_f1,supporting_title_hit,supporting_title_recall,trace_id,root_run_id,root_name,root_status,root_error,root_start_time,root_end_time,total_latency_s,prompt_tokens,completion_tokens,total_tokens,total_cost,trace_file,is_correct,latency_rank
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8b57f25542995d1e6f1371,0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,yes,Ed Wood; Scott Derrickson,"Conrad Brooks; Doctor Strange (2016 film); Ed Wood; Ed Wood (film); Mark Britten; Scott Derrickson; Woodson, Arkansas",1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170732026796Z-5a8b57f25542995d1e6f1371-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea834-2c3a-77f3-8b72-5f56ec745818,019ea834-2c3a-77f3-8b72-5f56ec745818,LangGraph,success,,2026-06-08T17:07:32.026897Z,2026-06-08T17:07:36.377488Z,4.350591,1761,58,1819,0.0044482,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-2c3a-77f3-8b72-5f56ec745818.json,True,53.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170736379012Z-5a8c7595554299585d9e36b6-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8c7595554299585d9e36b6,0,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Kiss and Tell (1945 film); Shirley Temple,A Kiss for Corliss; Bunny Grant; Kiss and Tell (1945 film); Meet Corliss Archer (TV series); Nelson Rockefeller; Shirley Temple,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170736379012Z-5a8c7595554299585d9e36b6-r0.json,False,True,True,0.5,1.0,0.6666666666666666,True,1.0,019ea834-3d3b-7691-aae1-41bdd62b76d9,019ea834-3d3b-7691-aae1-41bdd62b76d9,LangGraph,success,,2026-06-08T17:07:36.379188Z,2026-06-08T17:07:42.019588Z,5.6404,3242,68,3310,0.0051166,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-3d3b-7691-aae1-41bdd62b76d9.json,False,31.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170742021133Z-5a85ea095542994775f606a8-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a85ea095542994775f606a8,0,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,Animorphs; The Hork-Bajir Chronicles,Animorphs; Science Fantasy (magazine); The Hork-Bajir Chronicles,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170742021133Z-5a85ea095542994775f606a8-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea834-5345-7460-9bce-a44878a1dccc,019ea834-5345-7460-9bce-a44878a1dccc,LangGraph,success,,2026-06-08T17:07:42.021307Z,2026-06-08T17:07:46.311819Z,4.290512,1193,87,1280,0.004368,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-5345-7460-9bce-a44878a1dccc.json,True,55.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170746313106Z-5adbf0a255429947ff17385a-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5adbf0a255429947ff17385a,0,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,No,Esma Sultan Mansion; Laleli Mosque,Djamaâ el Kebir; Esma Sultan (daughter of Abdul Hamid I); Esma Sultan (daughter of Abdülaziz); Esma Sultan (daughter of Ahmed III); Esma Sultan Mansion; Laleli Mosque; Sultan Ahmed Mosque,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170746313106Z-5adbf0a255429947ff17385a-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea834-6409-7a63-87e0-63ae42b41f0d,019ea834-6409-7a63-87e0-63ae42b41f0d,LangGraph,success,,2026-06-08T17:07:46.313262Z,2026-06-08T17:07:49.886706Z,3.573444,1713,62,1775,0.0043158,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-6409-7a63-87e0-63ae42b41f0d.json,True,64.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170749888156Z-5a8e3ea95542995a26add48d-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8e3ea95542995a26add48d,0,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",New York City,Adriana Trigiani; Big Stone Gap (film),Adriana Trigiani; Big Stone Gap (film); Conrad Brooks; Doc NYC; Gone in 60 Seconds (2000 film); Index Magazine; New Haven Documentary Film Festival; New York Society of Model Engineers,2,generate_query_or_respond -> retrieve -> generate_followup_query -> generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170749888156Z-5a8e3ea95542995a26add48d-r0.json,False,False,True,1.0,0.6,0.7499999999999999,True,1.0,019ea834-7200-7350-99e5-f7afd302dc2a,019ea834-7200-7350-99e5-f7afd302dc2a,LangGraph,success,,2026-06-08T17:07:49.888314Z,2026-06-08T17:07:58.905465Z,9.017151,3161,162,3323,0.008004,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-7200-7350-99e5-f7afd302dc2a.json,False,14.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170758907544Z-5abd94525542992ac4f382d2-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5abd94525542992ac4f382d2,0,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,2014 S/S; Winner (band),2014 S/S; BTS discography; History (band); Seventeen discography,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170758907544Z-5abd94525542992ac4f382d2-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea834-953b-7c91-983a-5455f11058c2,019ea834-953b-7c91-983a-5455f11058c2,LangGraph,success,,2026-06-08T17:07:58.907731Z,2026-06-08T17:08:04.132818Z,5.225087,1119,113,1232,0.005028,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-953b-7c91-983a-5455f11058c2.json,True,40.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170804134473Z-5a85b2d95542997b5ce40028-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a85b2d95542997b5ce40028,0,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh; Management consulting,Bernhard Bötel; Eenasul Fateh; Indriati Iskak; Jim Cummings,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170804134473Z-5a85b2d95542997b5ce40028-r0.json,True,True,True,1.0,1.0,1.0,True,0.5,019ea834-a9a6-76d2-91a9-3fc1934e6b46,019ea834-a9a6-76d2-91a9-3fc1934e6b46,LangGraph,success,,2026-06-08T17:08:04.134665Z,2026-06-08T17:08:06.945607Z,2.810942,1184,34,1218,0.0029494,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-a9a6-76d2-91a9-3fc1934e6b46.json,True,74.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170806946592Z-5a87ab905542996e4f3088c1-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a87ab905542996e4f3088c1,0,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","3,677",Androscoggin Bank Colisée; Lewiston Maineiacs,2006–07 QMJHL season; Androscoggin Bank Colisée; Dwyer Arena; Lewiston Maineiacs,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170806946592Z-5a87ab905542996e4f3088c1-r0.json,False,False,True,1.0,0.5,0.6666666666666666,True,1.0,019ea834-b4a2-7742-8d8e-9949d44e93f5,019ea834-b4a2-7742-8d8e-9949d44e93f5,LangGraph,success,,2026-06-08T17:08:06.946726Z,2026-06-08T17:08:11.078023Z,4.131297,1256,94,1350,0.0049154,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-b4a2-7742-8d8e-9949d44e93f5.json,False,57.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170811079508Z-5a7bbb64554299042af8f7cc-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a7bbb64554299042af8f7cc,0,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Terry Richardson,Annie Morton; Terry Richardson,Annie Morton; Bunny Grant; Kenton Richardson; Lady Gaga x Terry Richardson; Madonna (book); Snoecks; Terry Richardson,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170811079508Z-5a7bbb64554299042af8f7cc-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea834-c4c7-7050-9644-6a06c21f9d67,019ea834-c4c7-7050-9644-6a06c21f9d67,LangGraph,success,,2026-06-08T17:08:11.079669Z,2026-06-08T17:08:16.313681Z,5.234012,1515,98,1613,0.0049034,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-c4c7-7050-9644-6a06c21f9d67.json,True,39.0
v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170816315986Z-5a8db19d5542994ba4e3dd00-r0,v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5,5a8db19d5542994ba4e3dd00,0,Are Local H and For Against both from the United States?,yes,Yes,For Against; Local H,Against the Wind (album); Badly Drawn Boy discography; For Against; Gary Lee Conner; History (band); Local H; Ophur; Viol,1,generate_query_or_respond -> retrieve -> generate_answer,"{""decide_after_retrieval"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_answer"": {""model"": ""gpt-5.5"", ""placement"": ""cloud_strong"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""strong cloud for user-facing terminal synthesis"", ""provider"": ""openai"", ""temperature"": 0}, ""generate_query_or_respond"": {""model"": ""gpt-4.1-mini"", ""placement"": ""cloud_fast"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""fast cloud for workflow control node"", ""provider"": ""openai"", ""temperature"": 0}, ""rewrite_question"": {""model"": ""qwen3.5:2b"", ""placement"": ""local"", ""placement_policy"": ""tiered_control_terminal"", ""placement_reason"": ""non-control support node"", ""provider"": ""ollama"", ""reasoning"": false, ""temperature"": 0, ""thinking"": false}}","{""decide_after_retrieval"": {""temperature"": 0}, ""generate_answer"": {""temperature"": 0}, ""generate_query_or_respond"": {""temperature"": 0}, ""rewrite_question"": {""reasoning"": false, ""temperature"": 0, ""thinking"": false}}",/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/evals/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5-20260608T170816315986Z-5a8db19d5542994ba4e3dd00-r0.json,True,True,True,1.0,1.0,1.0,True,1.0,019ea834-d93c-7b92-8c64-ef7525726059,019ea834-d93c-7b92-8c64-ef7525726059,LangGraph,success,,2026-06-08T17:08:16.316190Z,2026-06-08T17:08:19.588940Z,3.27275,1751,59,1810,0.0044228,/Users/chris/Documents/GitHub/workflow-rag-agent/analysis/v3-policy-tiered-control-terminal-qwen3.5-2b-gpt-4.1-mini-gpt-5.5/traces/019ea834-d93c-7b92-8c64-ef7525726059.json,True,67.0
